MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, j'ai une question pour vous.\nComment les chevaliers du royaume de\nBrodia s'entraînent-ils ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nPourquoi cela vous intéresse-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nEn toute franchise, j'ai toujours admiré\nles chevaliers brodiens, et je suis quelque\npeu curieuse...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nSi votre pays est surnommé le royaume des\nguerriers, vos méthodes d'entraînement ne\npeuvent être qu'extraordinaires.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nIl est vrai qu'on produit beaucoup d'excellents\nguerriers. Mais à mon avis, nous le devons\nà nos terres...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nBrodia est dans la majeure partie composée\nde falaises et de ravins. C'est loin d'être idéal\npour l'agriculture, vous me suivez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nBeaucoup de villages se concentrent autour\nd'une activité minière. Les gens développent\nnaturellement un physique musclé et résistant.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nAh, je vois ! Ainsi, l'entraînement est intégré\ntout naturellement à votre vie quotidienne ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nOui, pour la plupart des gens en tout cas !\nMon quotidien fut quelque peu différent puisque\nj'ai grandi dans une écurie d'alpagas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nDes alpagas ?! Ces créatures si rares que\ntout le monde connaît pourtant ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nVoilà qui est fantastique ! J'ai déjà une forte\ndisposition pour les créatures de toutes sortes,\nmais encore plus lorsqu'elles sont rares !\x0E\x04\x00\x00
