MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nAlors voilà Solm. Il a l'air d'y avoir...\nbeaucoup de sable.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08アイビー\nSolm est majoritairement composé de déserts.\nCelui-ci s'appelle Tullah, il me semble.\x0E\x04\x02\x00
MID_OP1_#003	Et comme vous l'avez probablement remarqué,\nil y fait bien plus chaud qu'en Elusia.\nJe crains fort de fondre.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nQuelle est la prochaine étape, Votre Divinité ?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nNous ferions mieux d'aller directement\nau palais. En espérant que les Chacals\nne nous y ont pas précédés.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08アイビー\nDurant mon séjour en Elusia, les Quatre\nChacals se sont rendus plusieurs fois en Solm.\x0E\x04\x02\x00
MID_OP1_#007	Néanmoins, ils sont toujours revenus les mains\nvides. Je pense donc que le palais sera épargné.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMerci, Ivy. Comme quoi, c'est pratique d'avoir\nune ennemie comme alliée.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08アイビー\nJe préfère prendre cela comme un compliment.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nQuel Anneau d'Emblème a été confié à Solm ?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08アイビー\nCelui du Héros de l'Aube. On raconte\nque c'est l'un des plus puissants.\x0E\x04\x02\x00
MID_OP1_#012	Inutile de dire qu'il tomberait à pic.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nC'est exactement ce dont nous avons besoin.\nAllons-y.\x0E\x04\x00\x00
