MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nLapis ! Je voulais vous remercier pour tout\nce que vous avez fait au cours des dernières\nbatailles.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nOh, je n'ai rien fait d'exceptionnel.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nJ'ai simplement suivi vos ordres. Vous n'avez\npas à me remercier pour cela, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nD'autres combattants bien plus habiles que moi\nont aussi pris part à ces batailles. Ce sont plutôt\neux que vous devriez remercier.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nLapis, je vous en prie. Avec votre force et votre\nrapidité d'esprit, vous devriez avoir confiance\nen vos capacités.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nConfiance ? Je ne sais pas...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nJe suis très heureuse d'être une vassale, mais\ntout le monde est bien plus qualifié que moi.\nEt puis je ne suis même pas noble.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nJe ne voudrais pas avoir l'air arrogante alors\nque mon rang est si inférieur à celui des autres.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nEh bien, vous êtes sévère avec vous-même.\nJe pense que ça peut être une bonne chose...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nMais vous ne devriez pas vous comparer aux\nautres comme vous le faites. Chacun dispose\nde talents différents.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nAlors soyez plus indulgente avec vous-même.\nJe le répète, vous pouvez vous permettre\nd'afficher un peu plus d'assurance.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nMais... Eh bien, Votre Divinité, j-je ne sais\nquoi vous répondre.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nJe n'ai pas l'habitude des compliments.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nJe ferais mieux d'y aller.\nJe vous prie de m'excuser.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x04\x03\x04
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nLapis a l'air tellement sûre de ne pas\nêtre à sa place ici...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nIl doit y avoir un moyen de changer\nson état d'esprit.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nHein ?! Vous êtes sérieu\x0E\x0A\x00\x0A\x02x\x04se ? Vous voulez\nvraiment vous entraîner avec moi aujourd'hui,\nVotre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nOui ! J'ai pensé que ce serait une bonne idée\nde s'entraîner ensemble, de temps en temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nC'est formidable ! Merci de trouver du temps\npour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAlors, à quoi me suis-je engagé\x0E\x0A\x00\x06
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nPour commencer, quelques coups d'estoc avec\ndifférentes armes, puis des coups de taille... et\nje soulève ensuite de bons gros poids.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nJe m'attache un sac lesté sur le dos et je pars\ncourir une bonne distance. Je fais aussi parfois\nun peu d'escalade.\x0E\x04\x00\x00
