MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nBonjour, Nel. J'aimerais que nous discutions\nun instant, si vous le voulez bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nJe vous en prie. Je désirais justement\nm'entretenir avec vous.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Et ne nourrissez nulle appréhension.\nVous pouvez parler librement avec moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nMerci. Je me demandais... Vous êtes vraiment\nla fille de Pa... Je veux dire de Sombron ?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Cette question me taraude depuis que je sais\nque vous êtes un Dragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nOui, je suis sa fille. Et j'ai connu une autre\nde ses progénitures dans mon monde, qui\nrépondait au nom de Veyle.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Si l'on en croit Mauvier, elle était un peu\nrigide, mais elle avait bon cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nIl y a donc une autre version de moi-même\ndans votre monde. Ça fait drôle de penser ça...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04エル\nÀ mon avis, nous devrions remercier le destin\nde nous avoir réunies.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nÀ une exception près, tous mes frères et sœurs\nm'ont quittée. Je n'aurais jamais songé\nretrouver encore une sœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nAinsi, vous me voyez comme une sœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nBien entendu. Ce n'est pas parce que vous\nvenez d'un autre monde que vous n'êtes\npas la fille de Papa, tout comme moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nEt il ne vous suffit pas d'être mon amie...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nVous... Vous ne voulez pas être ma sœur ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nVos paroles réjouissent mon cœur, mais mon\ncerveau n'est pas prêt à les accueillir.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Le Sombron que je connais n'est pas votre\nPapa. Et pendant longtemps, je n'ai eu qu'un\nfrère : Rafal.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nJe comprends. Tout cela doit vous sembler\nbien soudain...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Pardonnez mon trop-plein d'enthousiasme\net oublions cela pour le moment. Nous en\nreparlerons une autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nBonjour, Nel. Je vous demande pardon pour\nl'autre jour. J'aurais dû comprendre que vous\nne me considériez pas comme votre sœur.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Mais je me suis dit qu'on pourrait y remédier\nen passant un peu de temps ensemble.\nJ'ai même apporté quelques victuailles.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nPartager un repas me semble en effet\nun excellent moyen de renforcer notre amitié.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nMerveilleux ! J'espère que vous aimez\nla nourriture épicée.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nIl se trouve que je n'ai rien contre une bonne\ndose de sel et de piment.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nParfait ! Alors vous allez vous régaler.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Depuis que je suis ici, les bons petits plats me\nparaissent encore meilleurs. J'adore m'asseoir\navec tout le monde autour de la table.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nJ'ai également été très bien accueillie, en dépit\ndu fait que je suis une étrangère venue tout\ndroit d'un autre monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nLes gens d'ici sont très chaleureux.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Mais comme je suis également une fille du\nDragon déchu, j'ai particulièrement le devoir\nde m'assurer que vous vous sentez chez vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nVous avez dit que vous n'aviez longtemps eu\nqu'un seul frère, Rafal. Vous avez dû vous\nsentir bien seule, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nEn effet. J'ai souffert de la perte de chacun\nde mes frères et sœurs au fil des années.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	J'aurais voulu que nous soyons plus proches,\nmais nous étions trop occupés à essayer\nde survivre.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	C'était un univers de jalousie, d'usurpation,\nde trahison. Parfois de violence.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nQuelle horreur.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nAlors vous comprenez combien il m'est doux\nde profiter d'un moment paisible en votre\ncompagnie.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Mais c'est aussi pour cette raison que je ne\npeux pas me départir d'une certaine prudence\nà l'idée de vous accepter comme sœur.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Pour moi, ce lien charrie son lot de rivalités.\nEt de peur.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nVous avez peur de moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nJe ne me sens pas menacée, précisément\nparce que vous n'êtes pas ma sœur. Nous\nn'étions même pas censées nous rencontrer.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Puisque nous sommes libres de définir notre\nrelation comme bon nous semble, je préférerais\nque nous soyons amies.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nJe comprends. Merci de m'avoir ouvert ainsi\nvotre cœur, Nel.\x0E\x04\x02\x00
