MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nTerminé... C'est terminé. Quelle calamité,\ncomment continuer à *vivre* ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nQuelque chose vous tracasse, Zelkov ?\nJe suis à votre disposition si vous souhaitez\nen discuter.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est fort généreux de votre part. Toutefois,\nje doute que vous puissiez véritablement\n*comprendre*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nEssayez tout de même.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nL'une de mes *activités* s'est achevée.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh. C'est un simple... passe-temps qui vous\nafflige ainsi ? J'imaginais quelque déconvenue\nplus accablante.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nLe terme « passe-temps » est bien trop faible\npour désigner quelque chose d'absolument\n*primordial* à mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nJe... Je comprends. Pardonnez-moi.\nEt je vous en prie, poursuivez.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nJe *prenais soin* d'une jeune oiselle.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nSes parents l'avaient *abandonnée*.\nElle était encore incapable de prendre\nson envol.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai pris sur moi de *m'occuper d'elle*. Ce\nfaisant, je suis devenu une sorte de père adoptif.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nOh, c'est adorable.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est terminé, maintenant. Elle s'en est allée.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nElle a pris la fuite ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nElle a quitté le nid. Elle a rejoint sa place\n*légitime*, parmi les nuages.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nExcusez-moi, mais... N'y a-t-il pas lieu\nde s'en réjouir ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nSi. C'est à cela que *j'aspirais* depuis\nle commencement.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nBien sûr, en tant qu'instructeur, je suis\n*fier* de la voir voler de ses propres ailes.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nMais en tant que père, sa disparition\nme *ronge*.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nComprenez-vous mon problème, désormais,\nCitrinne ? Avez-vous une *solution* pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nHmm... Je pourrais acquérir un oiseau similaire\ndont vous pourriez prendre soin. Ou encore\nenvoyer une escouade à sa recherche.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nNon, *cela* ne ferait pas l'affaire...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nシトリニカ\nS'il en est ainsi, je ne vois guère ce que\nje peux faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nJe comprends. Dans ce cas, je n'abuserai\npas davantage de votre temps. Ce sera\nmon *fardeau*.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0C\nシトリニカ\nVous m'en voyez navrée, Zelkov. J'aimerais\ntant pouvoir vous aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov, comment vous portez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMalgré mes tentatives de me plonger dans\nd'autres activités... Ma perte continue\nà me *ronger*.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nAh. C'est bien triste.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nJe regrette de m'imposer tandis que la\nmélancolie vous assaille, mais puis-je\nvous demander de l'aide ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n*Qu'attendez-vous* de moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nTenez, lisez.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\n« Mon fils est un bon à rien. Comment\nle convaincre de se mettre au travail ? »\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n« On me conseille de garder le sourire, mais\nle problème n'est pas là. Mon amour m'a\nquitté. Comment puis-je continuer ? »\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'est-ce que je suis en train de lire,\n*exactement* ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nIl s'agit d'un registre des jeunes Brodiens ayant\nbesoin d'aide. Il contient leurs lettres, ou celles\nde leurs parents.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nPourquoi me montrez-vous cela, à *moi* ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nAfin de soulager la famille royale, il m'arrive\nde prodiguer des conseils à ceux qui souffrent.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nOr, il y en a... de plus en plus actuellement.\nVotre aide serait bienvenue.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nCitrinne... Votre *compassion* est\nextraordinaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nProdiguer des *conseils* à ces gens pourrait\nbien être le nouveau dessein dont la poursuite\nm'aiderait à surmonter ma peine.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nC'était *bien* là votre intention, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nHa ha ! Vous m'attribuez trop de mérite.\nMes réflexions ne portent pas si loin.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nMais peu importe. Pourquoi ne pas choisir\nune personne que vous pourriez aider et\nlui envoyer une missive ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nLes conseils d'un adulte sont toujours\nbénéfiques.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nOui. Oui, bien entendu. Je m'y *attelle*\nimmédiatement.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov ! J'ai peine à y croire !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nAvez-vous vraiment prodigué vos conseils à\ntoutes les personnes figurant sur la liste\nsans exception ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nOui, *en effet*. Ce n'était pas compliqué.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nExcellent travail. Ils étaient tous très\nreconnaissants.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nVoilà qui fait plaisir à entendre... même si cette\ntâche n'a pas su me soulager de mon *chagrin*.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh. J'en suis navrée.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nToutefois, je me sens en quelque sorte plus\n*optimiste* ces derniers temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nQuelque chose s'est *produit* en moi tandis\nque je conseillais ces jeunes en difficulté.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nJe me suis rendu compte que, chacun à leur\nfaçon, ils étaient autant *d'oisillons* apprenant\nà voler.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nMes conseils visaient à les aider à se prendre\nen charge. À apprendre à *quitter* le nid.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nTout comme mon *oiselle*.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nCela m'a été d'une grande aide de *voir les\nchoses* ainsi, lors de la rédaction.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous suis *reconnaissant*, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\nPourquoi dites-vous une chose pareille ?\nC'est vous qui m'avez rendu service !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nVous m'avez demandé de l'aide, *sachant\npertinemment* que l'aide serait reçue plutôt\nque donnée.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nHi hi ! Je vous assure que je n'ai aucune idée\nde ce dont vous parlez.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nHé hé... Vous êtes une personne remarquable.\nSincèrement.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nMaintenant, je vais prendre congé. Il est temps\npour moi de *chercher* une nouvelle activité.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nJe suis certaine qu'elle sera merveilleuse,\nquelle qu'elle soit.\x0E\x04\x00\x00
