MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nRien ne vaut une petite séance de tricot\npour sentir ses soucis s'envoler.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x02\x0C\nザフィーア\nOh, Vander ! Si je m'attendais à vous voir...\neuh, jouer des aiguilles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nOh, Saphir...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nParle plus bas, je t'en conjure. Il s'agit là d'une\nbesogne délicate, que je ne manquerai pas de\nmassacrer si tu me fais sursauter.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nBien sûr. Excusez-moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nC'est que j'étais à des lieues de vous imaginer\ntricoter. C'est un de vos passe-temps ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nEn effet. Et qu'y a-t-il de surprenant ?\nN'as-tu pas de passe-temps, toi-même ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nJe suis chevalier, point à la ligne.\nL'entraînement au combat, ça suffit\nà remplir mes journées.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nOn ne s'entraîne en effet jamais assez.\nToutefois, cette activité n'est pas tout à fait\nsans rapport avec le champ de bataille.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nAh ouais ? J'aimerais bien savoir en quoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nLe tricot exige qu'on assimile des gestes d'une\nextrême finesse, et encore qu'on les répète\npour atteindre la perfection.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nPar ailleurs, le choix de la facilité conduit\nimmanquablement à un travail bâclé.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nNe pourrait-on pas en dire autant des aptitudes\nque nous forgeons à l'entraînement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nAh, c'est pas faux. J'avais jamais vu les choses\nsous cet angle.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nSouhaites-tu apprendre à manier l'aiguille\nà ton tour ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nPourquoi pas ? Ce serait avec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nヴァンドレ\nParfait. Je serais ravi de t'apprendre ce que\nje sais. Je ne doute pas que tu en tireras\nun enseignement précieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nTu as manqué une maille, Saphir.\x0E\x04\x00\x00
