MAID_LueurWearM	Tenue divine
MAID_H_LueurWearM	Tenue ordinaire pour l'enfant du Dragon divin,\ntaillée spécialement pour Sa Divinité.
MAID_LueurWearF	Tenue divine
MAID_H_LueurWearF	Tenue ordinaire pour l'enfant du Dragon divin,\ntaillée spécialement pour Sa Divinité.
MAID_VandrWear	Tenue formelle
MAID_H_VandrWear	Tenue ordinaire de Vander, 32e gardien du Dragon.\nIl en aurait plusieurs exemplaires identiques.
MAID_FramWear	Tenue pourpre
MAID_H_FramWear	Tenue ordinaire de Framme, 33e gardienne du Dragon.\nPossède une poche extérieure pour emporter des en-cas.
MAID_ClanWear	Tenue céladon
MAID_H_ClanWear	Tenue ordinaire de Clanne, 33e gardien du Dragon.\nPossède une poche extérieure pour emporter des en-cas.
MAID_AlfredWear	Habit floral
MAID_H_AlfredWear	Tenue ordinaire d'Alfred, prince héritier de Firene. Permet des gestes\namples et inclut une fleur fraîchement cueillie accrochée à la boutonnière.
MAID_BoucheronWear	Chemise tirée
MAID_H_BoucheronWear	Tenue ordinaire de Boucheron, vassal d'Alfred. Les boutons semblent\nêtre sur le point de craquer, mais ils tiennent encore le coup !
MAID_EtieWear	Haut à froufrou
MAID_H_EtieWear	Tenue ordinaire d'Etie, vassale d'Alfred, reconnaissable à ses\nfroufrous. Le dessin sur la couture correspond à sa tenue de combat.
MAID_CelineWear	Habit thé
MAID_H_CelineWear	Tenue ordinaire de Céline, princesse de Firene. Les rubans offrent\nl'élégance requise pour boire le thé, et le joyau est couleur de miel.
MAID_LouisWear	Plastron chevalier
MAID_H_LouisWear	Tenue ordinaire de Louis, vassal de Céline. Les manches peuvent être\nretroussées afin de lui permettre d'effectuer au mieux son service.
MAID_ChloeWear	Robe pégase
MAID_H_ChloeWear	Tenue ordinaire de Chloé, vassale de Céline. Elle la porte quand elle\nachète de la cuisine de rue mais veille bien à ne pas la salir en mangeant.
MAID_DiamandWear	Tenue braise
MAID_H_DiamandWear	Tenue ordinaire de Diamant, prince héritier de Brodia. Elle a\nété conçue dans des matériaux solides pour tenir en cas d'urgence.
MAID_UmberWear	Veste alpaga
MAID_H_UmberWear	Tenue ordinaire d'Amber, vassal de Diamant. Les alpagas de son village\nnatal ont servi de modèles pour les broderies sur la poitrine et dans le dos.
MAID_JadeWear	Corset d'auteur
MAID_H_JadeWear	Tenue ordinaire de Jade, vassale de Diamant. Idéale pour un mode de vie\nactif, elle comporte une ceinture robuste en cuir qui fait tenir l'ensemble.
MAID_StalukeWear	Tenue cendre
MAID_H_StalukeWear	Tenue ordinaire d'Alcryst, prince de Brodia. Elle est similaire à celle\nde Diamant, ce qui ne diminue en rien l'angoisse d'Alcryst.
MAID_LapisWear	Tablier rural
MAID_H_LapisWear	Tenue ordinaire de Lapis, vassale d'Alcryst.\nCe tablier au motif floral a toujours été son préféré.
MAID_CitrinicaWear	Veste noble
MAID_H_CitrinicaWear	Tenue ordinaire de Citrinne, vassale d'Alcryst. La veste est dotée de\nfausse fourrure, et des amulettes de maison noble ornent la ceinture.
MAID_IvyWear	Robe mystique
MAID_H_IvyWear	Tenue ordinaire d'Ivy, princesse d'Elusia. Elle a été conçue pour\nque la princesse cesse enfin de grelotter dans le froid.
MAID_ZelkovaWear	Veste à ceintures
MAID_H_ZelkovaWear	Tenue ordinaire de Zelkov, vassal d'Ivy. On ignore à quoi\nsert cette multiple ceinture, si ce n'est pour l'ornement.
MAID_KagetsuWear	Habit onigiri
MAID_H_KagetsuWear	Tenue ordinaire de Kagetsu, vassal d'Ivy. Les dessins du pantalon\nillustrent des boulettes de riz et divers ingrédients.
MAID_HortensiaWear	Robe voyante
MAID_H_HortensiaWear	Tenue ordinaire d'Hortensia, princesse d'Elusia. S'inspirant partiellement\ndes vêtements d'Ivy, cette tenue déborde de charme.
MAID_RosadoWear	Jupe portefeuille
MAID_H_RosadoWear	Tenue ordinaire de Rosado, vassal d'Hortensia. Il en a hérité\nde son père et l'a modifié lui-même pour un effet de charme maximal.
MAID_GoldmaryWear	Robe immaculée
MAID_H_GoldmaryWear	Tenue ordinaire de Goldmary, vassale d'Hortensia. Cette robe est\ntellement parfaite qu'elle passe son temps à s'en excuser ostensiblement.
MAID_MisutiraWear	Tenue joyeuse
MAID_H_MisutiraWear	Tenue ordinaire de Timerra, princesse héritière de Solm. Son tissu léger\nest ignifugé, ce qui en fait le vêtement idéal autour d'un feu de camp.
MAID_MerinWear	Tenue lupine
MAID_H_MerinWear	Tenue ordinaire de Merrin, vassale de Timerra. La queue de loup\nest fausse, mais elle ne manque pas de la remuer quand elle est contente.
MAID_PanetoneWear	Robe gothique
MAID_H_PanetoneWear	Tenue ordinaire de Panette, vassale de Timerra. Elle l'a déchirée\ndans un accès de colère, puis réparée avec des fils colorés.
MAID_FogatoWear	Habit princier
MAID_H_FogatoWear	Tenue ordinaire de Fogado, prince de Solm. Il se couvre souvent\nle visage avec son écharpe s'il court le risque de se faire reconnaître.
MAID_PandoroWear	Veste de fête
MAID_H_PandoroWear	Tenue ordinaire de Pandreo, vassal de Fogado. Il la porte souvent\naux fêtes, avec une simple étole pour servir l'office.
MAID_BonetWear	Tablier de chef
MAID_H_BonetWear	Tenue ordinaire de Bunet, vassal de Fogado. Il la porte tous les jours\npour faire la cuisine et doit donc la laver fréquemment.
MAID_AnnaWear	Pull tricoté
MAID_H_AnnaWear	Tenue ordinaire d'Anna, la marchande extraordinaire. Cette robe en tricot\net son écharpe la protègent du froid même par les temps les plus rudes.
MAID_JeanWear	Veste d'écolier
MAID_H_JeanWear	Tenue ordinaire de Jean, étudiant en médecine. La poche de gauche\ncontient des herbes médicinales, la droite ses notes d'études.
MAID_YunakaWear	Gilet chic
MAID_H_YunakaWear	Tenue ordinaire de Yunaka, voleuse excentrique. Pour le fabriquer,\nelle a utilisé des vêtements quelconques achetés en ville.
MAID_SeadasWear	Tenue de danseur
MAID_H_SeadasWear	Tenue ordinaire de Seadall, danseur et devin.\nElle fait sa renommée mais laisse son ventre à l'air.
MAID_LindenWear	Robe de sage
MAID_H_LindenWear	Tenue ordinaire de Lindon, sage d'Elusia. Il ne se départ jamais\nde son pendentif d'argent accroché à son cou.
MAID_SaphirWear	Habit de pêche
MAID_H_SaphirWear	Tenue ordinaire de Saphir, chevalier royal de Brodia. La jupe est\nimperméable, et Saphir enlève toujours ses gants pour vider le poisson.
MAID_VeyreWear	Robe dentelle
MAID_H_VeyreWear	Tenue ordinaire de Veyle, fille du Dragon déchu. Elle prête si peu\nd'attention à son apparence que des amis lui ont choisi sa tenue.
MAID_MauveWear	Habit pieux
MAID_H_MauveWear	Tenue ordinaire de Mauvier, ancien membre des Quatre Chacals.\nIl prend tellement soin de cette tenue tissée à Firene qu'elle paraît neuve.
MAID_FileneFormal1	Set azur
MAID_H_FileneFormal1	Tenue portée par la noblesse firénienne. La couleur azur est obtenue\npar une teinture et représente une récolte abondante. (Deux versions.)
MAID_FileneFormal1M	Veste azur
MAID_H_FileneFormal1M	Tenue portée par la noblesse firénienne. Veste teinte\nen bleu azur et représentant le ciel qui bénit les récoltes.
MAID_FileneFormal1F	Robe azur
MAID_H_FileneFormal1F	Tenue portée par la noblesse firénienne. Jupe légère teinte\nen bleu azur et représentant le ciel qui bénit les récoltes.
MAID_FileneFormal2	Set droséra
MAID_H_FileneFormal2	Tenue portée par la noblesse firénienne dont le dégradé emblématique\nest obtenu par les techniques de teinture locales. (Deux versions.)
MAID_FileneFormal2M	Veste droséra
MAID_H_FileneFormal2M	Tenue portée par la noblesse firénienne dont le dégradé emblématique est\nobtenu par les techniques de teinture locales et accentué par une fleur.
MAID_FileneFormal2F	Robe droséra
MAID_H_FileneFormal2F	Tenue portée par la noblesse firénienne lors des fêtes, dont le dégradé\nemblématique est obtenu par les techniques de teinture locales.
MAID_FileneFormal3	Set océan
MAID_FileneFormal3M	Veste océan
MAID_H_FileneFormal3M	Tenue traditionnelle firénienne offerte en symbole d'amitié. Le dessin\ncomplexe représente une prière pour la paix. Portée pour les invités.
MAID_FileneFormal3F	Robe océan
MAID_H_FileneFormal3F	Tenue traditionnelle firénienne offerte en symbole d'amitié. Le motif\nreprésente un espoir de paix et le ruban illustre des liens indestructibles.
MAID_FileneCasual1	Set soleil
MAID_H_FileneCasual1	Tenue portée par les roturiers firéniens. C'est souvent le premier vêtement\nque les enfants de Firene apprennent à coudre. (Deux versions.)
MAID_FileneCasual1M	Gilet soleil
MAID_H_FileneCasual1M	Tenue portée par les roturiers firéniens. C'est souvent la première\ncréation des tailleurs de Firene. La veste serait l'élément le plus difficile.
MAID_FileneCasual1F	Tablier soleil
MAID_H_FileneCasual1F	Tenue portée par les roturières firéniennes. C'est souvent la première\ncréation des tailleurs de Firene. Les enfants aiment faire le ruban fleuri.
MAID_FileneCasual2	Set carreaux
MAID_H_FileneCasual2	Tenue décontractée portée par les roturiers firéniens, elle est ornée d'un\nmotif populaire qui révèlerait le caractère de son porteur. (Deux versions.)
MAID_FileneCasual2M	Gilet carreaux
MAID_H_FileneCasual2M	Tenue portée par les roturiers firéniens. Plutôt ordinaire, la veste est\naccentuée par un motif populaire qui révélerait le caractère du porteur.
MAID_FileneCasual2F	Tablier carreaux
MAID_H_FileneCasual2F	Tenue portée par les roturières firéniennes. Un motif assez populaire\nen Firene orne un tablier qui peut aussi servir de mouchoir.
MAID_FileneCasual3	Set floral
MAID_FileneCasual3M	Gilet floral
MAID_H_FileneCasual3M	Tenue offerte en signe d'amitié. Le motif floral brodé est traditionnel\nde Firene et symbolise l'affection qu'on porte à ses proches.
MAID_FileneCasual3F	Tablier floral
MAID_H_FileneCasual3F	Tenue offerte en signe d'amitié. Le motif floral brodé est traditionnel\nde Firene et symbolise l'affection qu'on porte à ses proches.
MAID_BrodiaFormal1	Set pourpre
MAID_H_BrodiaFormal1	Tenue portée par la noblesse brodienne. La broderie a été réalisée\ngrâce aux mines d'or qui abondent en Brodia. (Deux versions.)
MAID_BrodiaFormal1M	Pourpoint pourpre
MAID_H_BrodiaFormal1M	Tenue portée par la noblesse brodienne. Dotée d'une fausse fourrure et\nd'un motif brodé d'or. Coupe courte pour permettre des gestes amples.
MAID_BrodiaFormal1F	Manteau pourpre
MAID_H_BrodiaFormal1F	Tenue portée par la noblesse brodienne. Dotée d'une fausse fourrure,\nd'un motif brodé d'or et d'un ourlet noir résistant aux taches.
MAID_BrodiaFormal2	Set ébène
MAID_H_BrodiaFormal2	Tenue festive portée par la noblesse brodienne. Le motif représente\nune fleur du pays symbolisant la puissance. (Deux versions.)
MAID_BrodiaFormal2M	Pourpoint ébène
MAID_H_BrodiaFormal2M	Tenue portée par la noblesse brodienne. Fabriqué dans un tissu épais et\nchaud. Le motif représente une fleur du pays symbolisant la puissance.
MAID_BrodiaFormal2F	Manteau ébène
MAID_H_BrodiaFormal2F	Tenue festive portée par la noblesse brodienne. Le motif représente\nune fleur du pays symbolisant la puissance. La jupe est lourde.
MAID_BrodiaFormal3	Set mica
MAID_BrodiaFormal3M	Pourpoint mica
MAID_H_BrodiaFormal3M	Tenue brodienne offerte en signe d'amitié. Le faux cuir blanc représente\nl'espoir. Le motif décoratif est en fait la griffe de l'artisan.
MAID_BrodiaFormal3F	Manteau mica
MAID_H_BrodiaFormal3F	Tenue brodienne offerte en signe d'amitié. Le faux cuir blanc représente\nl'espoir, et certains commandent des vêtements de mariage dans ce tissu.
MAID_BrodiaCasual1	Set caverne
MAID_H_BrodiaCasual1	Tenue pratique portée par les roturiers brodiens. Facile à laver\net d'une couleur cachant les taches. (Deux versions.)
MAID_BrodiaCasual1M	Pèlerine caverne
MAID_H_BrodiaCasual1M	Tenue pratique portée par les roturiers brodiens. Facile à laver et\nd'une couleur cachant les taches. Possède une partie amovible.
MAID_BrodiaCasual1F	Jupe caverne
MAID_H_BrodiaCasual1F	Tenue pratique portée par les roturières brodiennes. Facile à laver et\nd'une couleur cachant les taches. Le fermoir est en fausse corne.
MAID_BrodiaCasual2	Set sauvage
MAID_H_BrodiaCasual2	Tenue portée par les roturiers brodiens. Les parties moelleuses en\nlaine d'alpaga sont très chaudes. (Deux versions.)
MAID_BrodiaCasual2M	Pèlerine sauvage
MAID_H_BrodiaCasual2M	Tenue portée par les roturiers brodiens. Les parties moelleuses en\nlaine d'alpaga sont très chaudes. Préférée par les nomades de Brodia.
MAID_BrodiaCasual2F	Jupe sauvage
MAID_H_BrodiaCasual2F	Tenue portée par les roturières brodiennes. Les parties moelleuses en\nlaine d'alpaga sont très chaudes. Les chaussures adhèrent aux falaises.
MAID_BrodiaCasual3	Set falaise
MAID_BrodiaCasual3M	Pèlerine falaise
MAID_H_BrodiaCasual3M	Tenue brodienne offerte en symbole d'amitié. Fabriquée dans un matériau\nsolide, confortable et élégant, qui imite la fourrure d'ours.
MAID_BrodiaCasual3F	Jupe falaise
MAID_H_BrodiaCasual3F	Tenue brodienne offerte en symbole d'amitié. Fabriquée dans un matériau\nsolide, confortable et élégant. Le motif repousserait le mal.
MAID_SolumFormal1	Set méridien
MAID_H_SolumFormal1	Tenue portée par la noblesse solmoise. Le tissu, léger et respirant,\nest adapté au climat aride en Solm. (Deux versions.)
MAID_SolumFormal1M	Mant. méridien
MAID_H_SolumFormal1M	Tenue portée par la noblesse solmoise. Le tissu, léger et respirant, est\nadapté au climat aride en Solm. Idéale pour marcher dans le sable.
MAID_SolumFormal1F	Jupe méridienne
MAID_H_SolumFormal1F	Tenue portée par la noblesse solmoise. Le tissu, léger et respirable, est\nadapté au climat aride en Solm. Comporte une robe pour filtrer le soleil.
MAID_SolumFormal2	Set aube
