MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIl est rassurant d'avoir un dragon de notre côté.\nEnsemble, nous allons rétablir la paix dans\nce monde.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nC'est un privilège pour moi de me battre\naux côtés du légendaire Roi-Héros. Je ferai\nmon possible pour me montrer à la hauteur.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVous savez, Nel, vous me rappelez ma sœur.\nVous faites preuve d'autant de générosité et\nde conviction qu'elle.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nJ'ignorais que vous aviez une sœur, Marth...\nVous pouvez tout à fait me considérer comme\nune sorte de sœur, si vous le souhaitez.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04エル\nMarth, si vous me permettez... j'aimerais bien\nsavoir ce qui vous pousse à combattre.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06マルス\nJe rêve d'un monde délivré de toute souffrance.\nJe suppose que c'est pour faire de ce rêve\nune réalité que je me bats.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nJe ressens de profondes affinités entre nous.\nJe serais fière de mettre mes forces au service\nde votre rêve.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06マルス\nMerci, Nel. Il en va de même pour moi. Je serais\nravi que nous travaillions ensemble pour\nconcrétiser cet avenir de paix.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nQu'un allié doué du pouvoir des dragons nous\nrejoigne me donne confiance. Ensemble, nous\nrétablirons la paix.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nJe me montrerai à la hauteur de la tâche.\nCela me permettra de me racheter, après tout.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMême si vous agissez parfois par bravade, vous\nêtes quelqu'un de généreux, dans le fond. Aussi\nbien sur le champ de bataille qu'en dehors.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nQuoi ?! Cela me semble totalement inexact.\nJ'admets tout au plus faire quelques efforts\nen ce sens, ces derniers temps.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTout comme vous, ma sœur m'a sauvé la vie,\nautrefois. Je n'avais plus aucun espoir, et elle\na tout risqué pour que je puisse m'échapper.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nAinsi donc, même le fameux Roi-Héros s'est\ndéjà senti totalement impuissant... Et qu'est-il\nfinalement arrivé à votre sœur ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06マルス\nJe l'ai sauvée. Et je me suis promis de devenir\nplus fort, afin que plus personne n'ait jamais\nà risquer sa vie pour moi.\x0E\x04\x00\x00
