MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nBonjour, Boucheron. Est-ce que tu as un instant\nà m'accorder ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nQue puis-je faire pour vous, Prince Alcryst ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nEh bien, j'aimerais... j'aimerais devenir\nton disciple si tu le veux bien !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nPlaît-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nNon, tu as raison. Je ferais sans doute un piètre\nélève. Je ne sais pas ce qui m'a pris...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nCe n'est pas ce que je voulais dire... Mais je ne\nsais pas trop ce que je pourrais vous\napprendre...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nEn réalité, j'aimerais avoir un physique comme\nle tien, si possible !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAh, vous souhaitez développer votre masse\nmusculaire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nJe manque de confiance en moi. Peut-être que\nma frêle constitution y est pour quelque chose...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nMais avec un corps plus solide, la situation\npourrait changer...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nPlus de muscles pour un regain de confiance ?\nD'accord, j'ai compris !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nJe suis prêt à vous donner quelques conseils.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nVraiment ? C'est merveilleux !\nMerci, Boucheron !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nC'est tout à ton honneur d'accepter un cas\ndésespéré tel que moi...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nQuand je me compare à toi, je vois bien que\nc'est sans espoir...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nBon, la première chose à faire, c'est d'arrêter de\nvous dénigrer ! Il faut apprendre à bomber\nle torse !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nInutile d'essayer de me consoler. Je m'en\nremets à votre savoir-faire. Mais sachez\nque ma médiocrité est sans borne.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nC'est pas gagné...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nSept ! Huit ! Neuf !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\nPfiou... Je suis éreinté !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nQu'est-ce qui vous arrive, Prince Alcryst ?\nNous en sommes à peine à neuf flexions.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nIl vous en reste encore 91 !\x0E\x04\x00\x00
