MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'étais heureu\x0E\x0A\x00\x0A\x02x\x04se de boire un thé avec\nvous aujourd'hui. Merci de m'avoir\ninvité\x0E\x0A\x00\x06
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nTout le plaisir était pour moi, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nNotre conversation rehaussait admirablement\nle goût d'un thé pourtant excellent à la base.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nIl était bon, n'est-ce pas ? Cette note florale\nétait absolument exquise.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nJe suis ravie de voir qu'il vous a plu.\nLes feuilles venaient de Firene, figurez-vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nLeur goût fin et délicat incarne l'esprit\nde notre royaume.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nC'est à n'en point douter mon thé favori.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nOui, il semble qu'à Firene, on préfère une\nexistence bucolique à toute sorte de conflit.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nJ'ai pu ressentir cette disposition dans\nnotre thé.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nJe connais un conte populaire firénien\nqu'il vous plaira peut-être d'écouter.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nNotre palais royal abrite un esprit qui assure\nle bonheur des personnes vertueuses.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nQuant aux voleurs et autres gredins, en\nrevanche, il les fait fuir en se livrant à ces\nfarces qu'affectionnent les ectoplasmes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ha, représentez-vous cela ! Chassés par\nles blagues de potache d'un fantôme malicieux !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nPas la moindre conséquence fâcheuse à\ndéplorer... Quel degré d'efficacité peut-on\naccorder à cet esprit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nEn tous les cas, c'est une histoire charmante.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nLe genre de conte bon enfant qui reflète\nbien le caractère des Firéniens, à mon avis.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nOui... Oui, c'est exact. En tout cas, j'espère\nque nous dégusterons encore le thé ensemble,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nVous avez l'air soucieuse, Céline.\nQuelque chose vous tracasse ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAh, Votre Divinité. Vous souvenez-vous du thé\nque nous avons dégusté ensemble l'autre jour ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nJe ne l'oublierai pas de sitôt, il était exquis.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nIl semblerait que les convois livrant ces feuilles\nsoient devenus une cible récurrente des bandits.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nNous avons tenté de modifier leur itinéraire,\nmais ce n'est guère probant. Chaque jour\napporte son lot de nouvelles victimes.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nQuelle horreur.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nNormalement, ce n'est pas à moi qu'il revient\nde régler les problèmes de cette nature.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nMais il s'agit d'une urgence, et nul à Firene\nne connaît aussi bien le thé que moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAinsi, Mère m'a demandé de m'en charger\npersonnellement.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nQu'en pensez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nJe me demande si elle n'y voit pas l'occasion\npour moi de quelque apprentissage.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nMême si mon frère est premier dans l'ordre\nde succession, je demeure princesse de Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nEt comment comptez-vous remédier\nau problème ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nJe songe à les chasser à coups de farces.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nAh, la vie ne serait-elle pas délicieuse si elle\nétait aussi simple que les contes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nMais non, la vraie vie n'a rien de... bucolique.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nNon, en effet.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nJe ne montrerai aucune pitié envers quiconque\ninflige des souffrances aux Firéniens.\x0E\x04\x00\x00
