MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. Vous arrivez à point nommé.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nVraiment ? C'est bien la première fois.\nEt à point nommé pour quoi, d'abord ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nAccepteriez-vous de déguster une tasse\nde thé en ma compagnie ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nJ'apprécie davantage le thé lorsque je ne le\nsavoure pas tout seul dans mon coin.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nOoh, ça a l'air amusant ! D'accord, avec joie.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nParfait. Voici votre thé, dans ce cas,\nfraichement infusé.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nAlors à la vôtre !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\n... Trop, trop bon ! C'est probablement\nle meilleur thé que j'aie bu. Vous êtes doué,\ndites donc.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Vous êtes trop bonne.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nJ'ai accès à nombre de feuilles de thé de\ngrande qualité, grâce au champ de plantes\ndélicates qui s'étend près de chez moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nJe prépare du thé pour ma famille depuis\nmon plus jeune âge. C'est un art que j'ai eu\namplement le temps de dompter.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nC'est formidable !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nVotre famille était vernie de pouvoir s'envoyer\ndu thé de ce niveau à tout moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Peut-être, peut-être. Et qu'en est-il\nde votre famille ? Se porte-t-elle bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nOh, euh... ma famille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nC'est, euh... En fait... On a eu des... Et puis\naprès encore euh... Enfin voilà, quoi...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nAh. Je retire ma question.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nPardonnez ma curiosité, Yunaka, mais\navez-vous déjà essayé de plonger des\nraisins sucrés dans votre thé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nDes raisins ? Dans le thé ? Ça paraît bizarre.\nC'est bon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nJe vous en préparerai. J'espère que ce sera\nà votre goût. Il s'agit d'une des spécialités\nde ma terre natale.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ユナカ\nOh, ça a l'air super !\nMerci, Louis !\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Ce n'est rien. Je préfère mon thé\navec un sourire quand cela est possible.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nLouis ! Coucou ! Salut !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nBonjour, Yunaka. Célébrez-vous quelque bonne\nfortune ? Votre sourire est plus radieux que\njamais.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\n... Berk. Mettez les salamalecs rose bonbon\nen veilleuse avant que je me mette à dégobiller\ndes arcs-en-ciel.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nEt écoutez-moi plutôt, j'ai un truc pour vous.\nUn petit quelque chose pour vous remercier.\nRegardez un peu ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nÇa alors. Un simple coup d'œil me suffit à\nconstater que ces feuilles de thé sont d'une\nextrême délicatesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nJ'en attendais pas moins de la part d'un expert.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nVous avez utilisé tellement de feuilles pour moi,\nj'avais peur que vous finissiez sans une goutte\nde thé si je vous rendais pas la pareille.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nAlors je sais bien que c'est pas grand-chose,\nmais j'espère que vous accepterez. C'est pour\nla bonne cause.\x0E\x04\x00\x00
