MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall ? Puis-je te poser une question ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セアダス\nQue voulez-vous savoir, Prince Alcryst ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nOn m'a dit que tu avais fait partie d'une\ncaravane itinérante.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nEst-ce vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nOui. C'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nMarchands, saltimbanques, danseurs...\nJ'ai voyagé avec eux et bien d'autres.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nVraiment ?! Ça devait être incroyable !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\n« Incroyable » ? Voilà une description flatteuse.\nJe suis surpris que vous pensiez cela.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nEh bien, j'ai rarement voyagé en dehors de\nBrodia. Mes devoirs en tant que prince ne\nm'en laissent guère le temps.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nJe suis aussi un peu introverti. J'admire ceux\nqui parviennent à naviguer entre les cultures\navec aisance.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nLe monde est rempli de merveilles. Les choses\nque j'ai vues... certaines vous couperaient le\nsouffle.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nÀ vrai dire, si cette vie vous intéresse vraiment,\nje peux vous raconter l'une ou l'autre histoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nVraiment ? J'adorerais ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nBien sûr, si je vous raconte ces histoires, je serai\nobligé de sauter certains des meilleurs passages.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nJe ne peux pas prendre la responsabilité de\nsouffler à un prince l'idée de s'aventurer hors\ndes frontières de son royaume.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nOh, ne t'inquiète pas. Je n'ai pas autant de\ncourage. J'étais déjà anxieux à l'idée de te\nposer une simple question.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nC'est incroyable ! La joute à dos de loup\ndoit être un spectacle palpitant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nMais les bagarres entre les spectateurs...\nc'est là où se déroule le vrai spectacle.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nIl y a de nombreuses façons de se divertir\nà Solm, mais aucune n'arrive à la cheville de\nl'arène des loups.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nToutes ces histoires... Tu as mené une vie\nfascinante, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nTes descriptions sont si précises. C'est comme\nsi j'avais vu ces endroits de mes propres yeux !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nLa vie de nomade semble si agréable.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\nAller et venir comme on l'entend, suivre ses\nenvies et sa curiosité pour parcourir le monde...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nNi entraves ni tracas... et si on s'ennuie\nquelque part, il suffit de reprendre la route !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\n... J'aimerais pouvoir vivre ainsi...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nスタルーク\nIl y a une histoire que tu ne m'as jamais\nracontée. Quand as-tu rejoint la caravane ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nJe parie que tu y es né ! C'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nNon. Je suis né dans une ville sur la côte.\nUne ville... magnifique.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nJ'étais si jeune quand mon père est mort que\nje ne m'en souviens pas. Ma mère m'a élevé.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nC'était une diseuse de bonne aventure, mais...\nau destin funeste. Elle est tombée malade et\nest morte quand j'étais encore enfant.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nUne chose en entraînant une autre...\nJe me suis vite retrouvé à vivre dans la rue.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nDans la rue ? Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nJ'étais un enfant sans famille.\nOù d'autre aurais-je pu vivre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nMais un jour, une caravane est passée,\net les nomades m'ont appelé pour...\nm'inviter à les rejoindre.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nEt j'ai accepté. J'ai voyagé avec eux à partir\nde ce jour.\x0E\x04\x00\x00
