MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJe n'ai jamais vu personne d'aussi puissant que\nvous. Cette capacité à invoquer des Emblèmes...\nJ'aimerais tant la posséder.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nVotre compliment m'honore, mais je crains de\nne pas pouvoir vous céder cette capacité. Je\nserais cependant ravi\x0E\x0A\x00\x06
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nMême lorsque vous êtes couvert\x0E\x0A\x00\x06
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nRien ni personne ne m'y oblige. Si je me bats,\nc'est pour défendre le monde que j'aime.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nVous combattez de toutes vos forces pour\nfaire triompher la paix. Il n'y a pas beaucoup\nde gens comme vous, vous savez...\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nSi j'y parviens, c'est parce que j'ai autour de\nmoi tous mes amis qui me soutiennent. Et je\nvous remercie d'en faire partie, Veronica.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nVous me considérez... comme une amie ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nBien sûr ! Les liens que nous avons forgés\nen combattant ensemble dureront jusqu'à\nla fin des temps.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDame Veronica, c'est un immense honneur\npour moi de voir une princesse impériale\nrejoindre nos rangs.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nLes politesses m'assomment. Pourquoi ne me\nparleriez-vous pas plutôt de vous ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nQue fabriquez-vous avec cette étoffe, Vander ?\nC'est vous qui l'avez confectionnée ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe m'adonne au tricot. C'est un passe-temps\nque j'affectionne tout particulièrement.\nVous plairait-il d'apprendre ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJ'ai l'impression que vous ne faites rien\nd'autre que de m'écouter. Ce n'est pas\ntrop lassant, à force ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nPas du tout. Vos récits sont captivants,\nde même que le gracieux sourire dont\nvous les accompagnez.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nMoi, je souris en racontant mes histoires ?\nÉtrange... Je ne souris pas souvent.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nPeut-être cela vient-il du temps que nous\navons passé ensemble. Une amitié est en\ntrain de s'épanouir entre nous.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nDame Veronica, s'il y a quoi que ce soit que\nje puisse faire pour vous, dites-le-moi.\nJe serais ravi de vous aider.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nHmm... Dans ce cas, racontez-moi votre\nhistoire. J'aimerais en savoir plus sur vous.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nSi ça ne vous dérange pas, j'aimerais que vous\nme parliez de vous. Qu'est-ce que vous aimez ?\nQu'est-ce que vous faites de votre temps libre ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nVous parler de moi ? Ma foi, puisque vous\nle demandez si gentiment...\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nClanne, vous... venez assez souvent discuter\navec moi. Y prenez-vous vraiment plaisir ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nBien sûr ! J'adore écouter vos histoires.\nJe trouve ça vraiment relaxant de passer\ndu temps avec vous.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nEt qu'est-ce que vous en pensez, vous ?\nÇa vous dérange, de discuter avec moi ?\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nAbsolument pas. J'attends même ces moments\navec impatience. Étrangement. J'aimerais que\nnous continuions à nous entretenir ainsi.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nVous faut-il quelque chose, Dame Veronica ?\nJe m'efforcerai de vous servir de mon mieux.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJe n'ai besoin de rien pour le moment.\nQuoique... si vous avez le temps, nous\npourrions peut-être bavarder un peu ?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06フラン\nJ'aimerais vraiment redécorer cet endroit.\nIl me semble qu'un environnement plus coloré\nvous conviendrait mieux.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAh bon, vous trouvez ? Je ne me suis jamais\nsouciée de la décoration. Mais si vous y tenez,\nj'aurai plaisir à vous voir à l'œuvre.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIl est fascinant de vous observer. Vous courez\nsans arrêt à toute vitesse, vous vous étalez,\net vous repartez aussitôt.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nC'est parce que je ne baisse jamais les bras.\nIl m'arrive de tomber, mais je suis fière de\npouvoir dire que je me redresse toujours !\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nVous êtes plus forte que vous n'en avez l'air.\nEt vous semblez avoir une énergie inépuisable.\nD'où tirez-vous toute cette ardeur ?\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nComment ne pas déborder d'énergie quand\non s'amuse autant ?! Je suis toujours pleine\nd'enthousiasme quand je suis avec vous !\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nVous vous levez si tôt... Que faites-vous\npendant ces longues heures matinales ?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe m'entraîne ! Il est essentiel de faire de\nl'exercice, été comme hiver. Voulez-vous\nque nous allions courir un peu ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, nous allons encore avoir une belle journée !\nSentez-vous cette joie dans l'air ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDe la joie... Je n'en ai jamais vraiment ressenti.\nÀ part maintenant, peut-être. Un peu...\x0E\x04\x00\x00
