MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nTiens donc, Messire Rafal. Tomber sur vous\nen plein milieu de cet énorme Somniel,\nvous parlez d'une coïncidence...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nBen alors, vous daignez plus m'adresser\nla parole ? Je croyais qu'on était alliés...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nAh, voilà, je me souviens de vous.\nVous êtes l'un de ces misérables\ngeignards des Quatre Zéphyrs.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nOh ! Regard glacial et paroles blessantes...\nMessire Nil a bien changé.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nSi vous tenez à votre tête, je vous conseille de\nvous abstenir de prononcer ce nom, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nグレゴリー\nC'est bien ce qu'il me semblait.\nVotre gentillesse... ça a toujours été\ndu baratin, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nÉvidemment. Votre esprit est-il si faible\nqu'il se laisse duper par d'aussi tristes\nplatitudes ?\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Oh, Gregory, vous m'avez tellement manqué !\nOh, la simple vue de votre visage fait déborder\nmon cœur de joie, Gregory !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nArgh ! Pas la peine d'être aussi cruel. Les mots\npeuvent faire aussi mal qu'un coup d'épée,\nvous savez.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nAlors dites-moi ce qui vous amène et cessez\nde me faire perdre mon temps. Vous êtes\nvenu vous venger, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nComment ? Pas du tout ! C'est pas mon genre.\nLa vengeance et moi, ça fait deux.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Non, y a rien de spécial qui m'amène.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nAlors débarrassez le plancher.\nJe n'ai que faire de vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nSoit. De toute façon, j'avais pas l'intention\nde redevenir votre pigeon.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Mais je voulais quand même vous demander\nun truc...\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Vous la jouez cruelle, mais ça sonne tout aussi\nfaux que quand vous faisiez semblant d'être\nsympa. Alors quel est le vrai Rafal ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nラファール\nVous êtes d'une candeur confondante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nOh, Messire Rafal ! C'est mon jour de chance,\non dirait.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Il fait un temps superbe, non ? Je piquerais\nbien un petit roupillon... si on était pas au beau\nmilieu d'un champ de bataille.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nVotre enthousiasme me dépasse. Et vos\ndémonstrations d'amitié sont inappropriées.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nQui a dit que j'essayais d'être votre ami ?\nSi ça se trouve, je suis là parce que le Dragon\ndivin m'a demandé de veiller sur vous...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nVous ? Veiller sur moi ? Pff.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nEt pourquoi pas ? Vous avez beau être fort,\nvous avez une fâcheuse tendance à laisser\ncette force vous monter à la tête.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Un type du genre calme et cérébral à vos côtés,\nça rétablira l'équilibre.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nLorsque j'aurai besoin des services d'un couard\nlarmoyant, je m'assurerai de vous... Argh !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nAttention !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\nQu'est-ce que...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nOn est jamais à l'abri d'une embuscade\nsur un champ de bataille, Messire Rafal.\x0E\x04\x00\x00
