MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nOh, bon sang ! Admets-le, Jean. Tu t'es perdu.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nSi je rentre pas rapidement, il va y avoir\ndes histoires.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x02\x08\x06クラン\nJean ? Est-ce que tout va bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nOh... Bonjour, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nTu pleures ? Il s'est passé quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ジャン\nN-Nan, je pleure pas. C'est juste que je retrouve\npas mon chemin, alors j'ai un peu peur.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nNos soldats rentrent souvent blessés\nces temps-ci. Je suis venu dans le coin\npour trouver des herbes médicinales.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nOh ! Vraiment ? Ça leur sera d'une grande aide.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ジャン\nJ'ai trouvé les herbes que je cherchais,\nmais j'étais tellement absorbé par ma tâche...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nQue tu t'es perdu.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nEt vous, Clanne ? Vous faites quoi par ici ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nMoi aussi, je suis venu chercher des herbes,\nmais pour préparer des légumes marinés.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nOh. Alors, euh... vous savez comment rentrer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nOh oui ! Je viens souvent dans le coin,\nje peux t'aider à rentrer sain et sauf.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nÇa serait chic de votre part.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nQuand tu t'aventures seul dans la forêt,\nfais bien attention à ton environnement.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ジャン\nVous avez raison, c'est sûr.\nJe ferai plus attention la prochaine fois.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nC'est une chance que je sois tombé sur toi ici,\npas vrai ? Rentrons à la maison.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ジャン\nMerci, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nDites, Clanne, vous vous souvenez quand\nje me suis perdu dans la forêt en cherchant\ndes herbes et que vous m'avez aidé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nHmm hmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nElles m'ont servi à soigner un enfant blessé\nque j'ai croisé par hasard près du lieu de notre\ndernier combat.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nGrâce à ces herbes, je n'ai eu aucun mal\nà l'aider.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nEh bien, c'est une bonne nouvelle !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nJ'ose pas imaginer ce que ce pauvre enfant\nserait devenu si j'avais jamais retrouvé mon\nchemin.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nDu coup, vous l'avez aussi aidé, Clanne.\nEt je vous en remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nOh, je n'ai pas fait grand-chose.\nJe t'ai simplement indiqué par où passer.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nMais votre aide a eu des répercussions.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nLa famille de cet enfant est pauvre. Ils auraient\njamais pu se payer une visite chez le docteur.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nSans moi ni ces herbes, la blessure se serait\nsans doute infectée.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nIl y a des chances.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ジャン\nÇa m'a fait réfléchir. J'avais beau être un\npeu triste, je pensais pas que se perdre\npourrait être si grave.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nMais pour un docteur, la ponctualité est une\nquestion de vie ou de mort. Chaque seconde\ncompte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nIl faut vraiment que je fasse plus attention.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nJean, je ne dis pas que tu as tort,\nmais ne te mine pas avec cette histoire.\x0E\x04\x00\x00
