MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNous y voici, Framme. Ici, nous pourrons\ncueillir autant de pommes qu'il nous plaira.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOooh, et c'est joli en plus !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nMais quand même, ça fait une sacrée trotte\npour une cueillette, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLe secret des meilleurs plats est qu'ils sont\nréalisés avec les meilleurs ingrédients.\nRécolter ces ingrédients demande des efforts.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nEh bien, venir ici m'a autant essoufflée\nqu'un entraînement ! Cuisiner, c'est pas\nde la tarte !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nQuand on sera rentrées, je me précipiterai\ndans un bon bain bien chaud pour me détendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nEuh, Goldmary ? Qu'est-ce que tu fais ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y a un problème ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nPourquoi tu te déshabilles ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nRemets immédiatement tes vêtements !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y a une superbe source, juste là.\nJe me suis dit que j'y piquerais bien\nune petite tête.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nOui enfin... tu aurais pu me prévenir,\nquand même !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTe prévenir ? De quoi, au juste ?\nJe voulais juste me rafraîchir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu as d'ailleurs dit toi-même que tu irais\nprendre un bon bain après cette longue\nmarche.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nEuh, oui... mais je ne comptais pas le faire\navant d'être rentrée.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nÇa ne te dérange pas de te laver ainsi,\nen plein air ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPour moi, c'est assez naturel. Probablement\nparce que j'ai grandi dans un village\nabritant des sources chaudes.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nJ'ai toujours eu l'impression que tu étais\ntimide, mais je vois que j'étais complètement\nà côté de la plaque.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nÇa m'apprendra à juger les gens selon\nles apparences, tiens...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh...\x0E\x04\x00\x00
