MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYunaka. Dis-moi ce que tu mijotes au sujet de\nla prochaine assemblée de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nDésolée, tu veux bien répéter ?\nJ'avais une oreille qui faisait la sieste.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nJe sais que tu te renseignes sur la réunion\nà venir des dignitaires de Brodia...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nEuh, la quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nBrodia est mon trésor, et ses habitants le sont\négalement. Si tu nourris quelque intention\ncriminelle, je t'arrêterai.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nOh oh oh, on se calme. Et on reprend du début.\nJe crois qu'on nage en plein malentendu.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nAh oui ? Et quelle est la teneur de ce prétendu\nmalentendu ? Tu mens au sujet de ton nom,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nAlors en fait, euh... C'est-à-dire que je...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nNe te fatigue pas à nier. Tu en as dupé plus\nd'un, mais moi, je connais la véritable besogne\nqui est la tienne.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nTu es un assassin.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
