MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nExcusez-moi, Votre Divinité... Il y a quelque\nchose dont j'aimerais vous entretenir, si cela\nne vous importune pas trop.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh ? Non, aucun problème.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nMais d'abord, je vous en prie, détendez-vous\nun peu. Je ne vous mordrai pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nHa ha, bien sûr ! Je vous demande pardon.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nJ'ai dû rassembler mon courage pour\nvenir vous présenter cette doléance.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nVoyez-vous, j'adore les créatures rares, et\nj'ai notamment une passion pour les dragons.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nAlors, vous me voyez comme...\nune créature rare ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nEn tout cas, vous êtes rare. Vous êtes le seul\nDragon divin au monde.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nAlors j'espérais que vous accepteriez de m'aider\nun peu à mieux comprendre votre espèce.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nEuh... Ouah.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nCela vous contrarie ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNon, non. Je vous en prie, poursuivez.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nParfait ! Je ne vais pas tourner autour du pot.\nRacontez-moi un peu votre journée type.\x0E\x04\x00\x00
