MID_WU_C_1_IN_#001	Doucement maintenant...\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	Mais de quel degré de discrétion\nparlons-nous exactement ?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Ah !\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Vous avez remarqué mes\npas les plus silencieux !\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Votre ouïe est excellente, Votre Divinité.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	Puis-je examiner vos oreilles ?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	L'eau courante fera-t-elle l'affaire ?\nIl semblerait que non.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Toucher du bois ? Brûler\ndu bois ? Toujours rien ?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Les flammes semblent se propager.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	Oh non !\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Bonjour, Votre Divinité...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Non, nous ne sommes pas attaqués.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Pardonnez-moi... Je vais régler cela\nimmédiatement avec la magie du vent.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Trop tôt pour faire des expériences,\nme disent-ils... Ridicule !\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Oh, regardez cet endroit !\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Votre Divinité !\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Je ne faisais que passer.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Je n'ai certainement pas l'intention\nde faire des expériences.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	Je vais y aller.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Cet endroit est parfait. Bien...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Vinaigre, cire, un peu de Feu...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ah ! Trop de feu !\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Abandonnez l'expérience !\nÉteignez le feu ! Éteignez le feu !\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Je suis confus...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	C'est votre chambre ?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Je crains de ne pas l'avoir réalisé.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	Pardonnez-moi.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Regardez, Votre Divinité !\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	J'ai réussi à créer mon\npropre Anneau d'Emblème !\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Voilà qui a suscité votre attention !\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Hélas, dans mon enthousiasme,\nil semble que je l'aie écrasé.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Au moins, il aura bon goût.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	Je l'ai fait en sucre, voyez-vous.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Je n'ai pas su capter votre intérêt.\nJ'étais pourtant sûr que cela marcherait.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Eh bien, si cet anneau ne vous intéresse\npas, je n'ai plus qu'à le manger.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Allez hop, cul sec, comme on dit...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Mmm... mmm... mmm...\x0E\x04\x00\x00
