MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nVous êtes... Gregory.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nLui-même.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nNous avons une tâche à accomplir.\nCes armes ne vont pas s'entretenir\ntoutes seules.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nOui, c'est bon...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nVous êtes aussi décontracté que votre\ndouble de ce monde.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Certes, vous savez vous battre, mais j'ignore\ncomplètement si nous pouvons vous faire\nconfiance.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	J'ai l'impression que vous n'êtes pas à l'aise\navec moi. Et si c'est le cas, vous pouvez partir.\nNous n'avons pas besoin d'être deux ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nNon ! Je refuse de partir et de vous laisser ici\ntout seul. Tout seul à bûcher, évidemment. \x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nOh, ben... excusez-moi. Mais je veux rester.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nNous n'avancerons pas beaucoup, ainsi.\nVos motivations relèvent du mystère\nle plus complet.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Si vous voulez que notre relation évolue,\nil va falloir que nous ayons une conversation\nfranche.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nDu genre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nNous devrions déjà commencer par échanger\ndes simples faits, au moins pour nous assurer\nd'être sur la même page.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nDonc, en fait... vous êtes en train de me dire\nque vous avez envie de parler avec moi.\nC'est bien ça, Mauvier ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06モーヴ\nAvez-vous une quelconque objection ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nHmm...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06モーヴ\nVous avez l'air bouleversé.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nNon, pas du tout. En fait, je voulais aussi vous\nparler, mais j'avais peur que vous ne m'ayez pas\npardonné !\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Comme je vous avais abandonné, je pensais\nque je ne pourrais même pas vous regarder.\nJe suis vraiment désolé...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06モーヴ\nJe ne peux pas prétendre que je vous\ncomprends, mais au moins, je vous entends.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nグレゴリー\nMauvier... Je ne vous abandonnerai plus\njamais, c'est promis. Je serai toujours à\nvos côtés !\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06モーヴ\nVoilà qui ne va pas être facile...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDites, Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_B_#002	On a beau parler, j'ai pas vraiment l'impression\nque vous me faites confiance.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nSachez que je ne cherchais nullement\nà me montrer défiant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nOh... D'accord. Je me suis quand même dit\nqu'il fallait que vous sachiez que j'ai pris\nla place de Mauvier dans mon monde.\x0E\x04\x02\x00
