MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nNous voilà arrivés dans les îles méridionales\nde Firene... Je sens indéniablement la présence\nd'un Emblème en ces lieux.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0C\nヴァンドレ\nVoyez, là-bas, on dirait une sorte d'autel.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nLe bracelet qui trône dessus contient sans\ndoute l'Emblème dont je décèle l'aura.\x0E\x04\x02\x00
MID_OP1_#004	Oui... Tout m'apparaît clairement.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nヴァンドレ\nQu'est-ce donc, Votre Divinité ?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nUne incantation vient de prendre forme\ndans mon esprit.\x0E\x04\x02\x00
MID_OP1_#007	Je vais tenter d'invoquer l'Emblème.\x0E\x04\x02\x00
MID_OP1_#008	Rêvez pour nous, Emblème des Dragons !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x06\x04チキ\nMar-Mar ? Non... Pardonnez-moi, mais...\nqui êtes-vous ?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nJe suis le Dragon divin \x0E\x06\x03\x00.\nNous sommes venus en ces lieux\ncar j'ai senti votre présence.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04チキ\nUn Dragon divin ? Incroyable, j'en suis un,\nmoi aussi ! Je suis l'Emblème Tiki.\x0E\x04\x02\x00
MID_OP2_#004	Je dois vous remercier de m'avoir réveillée, j'ai\nl'impression d'avoir dormi plusieurs siècles.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nJe connais ce sentiment, Tiki. Avez-vous le\nmoindre souvenir des événements qui ont\nprécédé votre mise en sommeil ?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x06\x04チキ\nHm... Je sais que mes amis des autres\nbracelets et moi-même nous trouvions\ndans une contrée fort lointaine.\x0E\x04\x02\x00
MID_OP2_#007	Nous avons livré de si nombreux combats, il\nm'est impossible de m'en rappeler l'issue finale.\x0E\x04\x02\x00
MID_OP2_#008	Je me souviens tout de même de la présence\ndouce et délicate qui m'a aidée à trouver le\nrepos... J'aimerais savoir de qui il s'agit...\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nDouce et délicate... Hm.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04チキ\nOn m'avait déjà mise en sommeil dans mon\nancien monde, certes pour me protéger,\nmais j'étais tout de même effrayée.\x0E\x04\x02\x00
MID_OP2_#011	Ensuite Mar-Mar est intervenu, et grâce\nà lui, je n'avais plus besoin de dormir !\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nVoulez-vous parler de Marth ? Les événements\nque vous relatez auraient-ils eu lieu à l'époque\ndu Roi-Héros ?\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x06\x04チキ\nVous le connaissez donc ?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nCertainement, l'Emblème Marth veille en\ngardien sur Elyos depuis fort longtemps.\x0E\x04\x02\x00
MID_OP2_#015	Et si d'aventure vous souhaitiez vous joindre\nà lui et combattre à ses côtés pour sauver ce\nmonde, nous vous en serions reconnaissants.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x06\x04チキ\nCe serait avec grand plaisir, j'ai hâte de partir\nsur les routes avec votre groupe et me faire\nune multitude de nouveaux amis !\x0E\x04\x02\x00
MID_OP2_#017	Mais avant de vous prêter mon aide, il me\nfaut connaître vos motivations profondes.\nPourriez-vous me montrer votre essence ?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nBien entendu, mais comment s'y prend-on\npour faire une telle chose, au juste ?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x06\x04チキ\nRien de plus facile ! Affrontez-moi en\ncombat, ce sera le meilleur révélateur\nde votre véritable nature.\x0E\x04\x02\x00
MID_OP2_#020	Et n'ayez pas peur de lancer toutes vos forces\ndans la bataille, je suis très forte, vous savez !\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\nAllons, montrez-moi votre valeur !\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nCes portes sont protégées par\nune magie puissante.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nCes sceaux sont le seul moyen d'ouvrir\nles portes. Tâchez d'arriver jusqu'à moi,\nsi vous le pouvez.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nPeut-être serait-il sage de nous diriger\nen premier lieu vers le sceau ?\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nCette surface gelée est très glissante, peut-être\npourrions-nous en user pour nous mouvoir plus\ndiligemment... Avec prudence, cela va de soi.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nLa porte est désormais ouverte, nous devrions\négalement exploiter le second sceau.\x0E\x04\x02\x00
MID_EV6_#002	Diantre ! Le sol est désormais gelé en plusieurs\nautres endroits. Avancez avec la plus grande\nprécaution, Votre Divinité.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\n\x0E\x03\x02\x0C\nヴァンドレ\nL'autre porte s'est ouverte, je pense\nque l'Emblème est enfin à notre portée.\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\nVous êtes des adversaires de taille !\nJe vais devoir employer toute ma force.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x14\x06マルス\nSmile\n\x0E\x03\x02\x08\x06マルス\nÇa alors, Tiki, cela faisait bien longtemps,\nje suis heureux de vous voir. Comment\nvous portez-vous ?\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nMar-Mar ! Quelle joie de vous retrouver !\nJe vais bien, très bien, même !\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x02\x08\x06マルス\nSi nous remportons cette bataille, j'espère que\nnous pourrons combattre à nouveau ensemble,\nje serais rassuré de vous savoir à mes côtés.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x03\x02\x06\x04チキ\nBien sûr ! Ce serait un tel bonheur de vous\naccompagner à nouveau. Nous pourrons\ndiscuter toute la journée !\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x14\x04チキ\x0CNormal\n\x0E\x03\x02\x06\x04チキ\nJe me demandais une chose... Êtes-vous\nsatisfait\x0E\x0A\x00\x06
MID_BT2_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nÇa n'a pas toujours été le cas, mais je pense\npouvoir affirmer que je le suis aujourd'hui. Cela\nm'a révélé de quoi j'étais réellement capable.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nJe vois. J'aimerais beaucoup en apprendre\ndavantage à votre sujet. Accepteriez-vous\nde vous ouvrir à moi ?\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0A\x08リュール\nBien entendu, je vous dirai tout\nce que vous souhaitez savoir.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nEh bien, c'était une superbe démonstration !\nJ'ai fait de mon mieux, mais vous avez triomphé\nmalgré tout !\x0E\x04\x02\x00
MID_ED1_#002	Cela m'a permis d'entrevoir votre véritable\nessence, et votre nature douce et bienveillante\ntransparaît même dans le fracas du combat.\x0E\x04\x02\x00
MID_ED1_#003	Ce serait pour moi un honneur de vous aider,\n\x0E\x06\x03\x00, et je suis impatiente de vous\nprêter mes talents !\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nJe vous remercie, Tiki. Il est réconfortant\nde pouvoir vous compter dans nos rangs.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x06\x04チキ\nHi hi, vous me flattez. Oh, j'ai failli oublier !\nJe ne suis pas la seule, vous savez ?\x0E\x04\x02\x00
MID_ED1_#006	Mes amis sont également ici. Ils ont d'autres\nbracelets comme le mien, et je suis sûre qu'ils\nseraient heureux de vous apporter leur aide.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nEntendez-vous par là qu'il y a d'autres\nBracelets d'Emblèmes ici, en Elyos ?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x06\x04チキ\nOui ! Nous sommes apparus il y a peu. Je\npourrai vous indiquer où ils se trouvent, et\nvous n'aurez plus qu'à aller les rencontrer !\x0E\x04\x02\x00
MID_ED1_#009	Je crois savoir qu'ils sont tous plongés dans le\nsommeil. J'espère qu'ils font de doux rêves...\x0E\x04\x02\x00
MID_ED1_#010	Moi, je faisais d'affreux cauchemars dans\nlesquels je me transformais en monstre\net je faisais du mal à des innocents.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nVous m'en voyez désolé\x0E\x0A\x00\x06
MID_ED1_#012	\x0E\x03\x02\x06\x04チキ\nC'est vrai... Mais c'est fini désormais,\nje ne fais plus ces rêves effrayants.\x0E\x04\x02\x00
MID_ED1_#013	Et maintenant que je suis à vos côtés,\nje suis convaincue que mes nuits seront\nuniquement rythmées par d'agréables songes.\x0E\x04\x02\x00
MID_ED1_#014	C'est pour cette raison que je ne veux pas être\nseule, et je meurs d'envie de me lier d'amitié\navec tous vos compagnons de route !\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nVoilà qui devrait être une simple formalité,\nvous vous entendrez à merveille avec tout\nle monde, j'en suis déjà convaincu\x0E\x0A\x00\x06
MID_ED1_#016	\x0E\x03\x02\x06\x04チキ\nOuiii, J'ai tellement hâte de les rencontrer !\nVite, mettons-nous en route !\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMar-Mar ! Je suis tellement heureuse\nde vous revoir.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06マルス\nJe suis soulagé de vous voir saine et sauve,\nmoi aussi. Je vais pouvoir honorer la promesse\nque j'avais faite de vous protéger.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x06\x04チキ\nHi hi, vous vous en êtes souvenu, quel bonheur !\nJe n'aurais jamais pu l'oublier.\x0E\x04\x02\x00
MID_ED2_#004	Maintenant que nous sommes réunis, je sais\nque je n'ai plus aucune crainte à avoir.\nNous allons tellement nous amuser !\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x08\x06マルス\nÀ vos côtés, Tiki, je sais que la victoire\nsera toujours à portée de main.\x0E\x04\x02\x00
MID_ED2_#006	Ensemble, nous protégerons Elyos.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x06\x04チキ\nJe vous promets de consacrer tous mes efforts\nà cette tâche ! Je suis tellement impatiente de\nprendre la route avec vous !\x0E\x04\x02\x00
MID_ED2_#008	Nous avons tant de choses à nous dire\net de nouvelles aventures à vivre !\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x08\x06マルス\nAbsolument, nous avons beaucoup de retard\nà rattraper, vous et moi, et cette perspective\nm'emplit d'une joie sans bornes.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x06\x04チキ\nOh, Mar-Mar ! Vous m'avez tellement manqué !\x0E\x04\x00\x00
