MID_H_INFO_WLV_Bullet	Canon
MID_MSG_LOST_ITEM	Perdu : \x0E\x01\x00\x00 \x0E\x01\x01\x00
MID_DLC_News_Patch2_Title	Version 1.3.0
MID_DLC_News_Patch2	Pass d'extension\n\n・ Ajout des Emblèmes Chrom (avec Daraen) et Veronica\n　 Chacun d'eux rejoindra votre groupe lorsque vous aurez\n　 terminé l'annexe divine correspondante.\n\nContenu gratuit\n\n・ Ajout du puits ancien à Somniel\n　 Vous pouvez l'utiliser pour échanger des objets dont\n　 vous n'avez plus besoin contre de nouveaux objets.\n\n・ Vous pouvez maintenant hériter de techniques aussi\n   bien dans l'arène que dans la salle des Emblèmes.
MCID_G003_PREFIX	Annexe divine
MCID_G003	L'Héritière Solitaire
MCID_G003_PLACE	Sanctuaire des héros
MCID_G003_OUTLINE	Un bracelet a été aperçu sur\nune île flottant dans le ciel.
MCID_G006_PREFIX	Annexe divine
MCID_G006	Le Saint-Veilleur
MCID_G006_PLACE	Autel de la destinée
MCID_G006_OUTLINE	Un bracelet a été aperçu dans les\ntréfonds d'un temple majestueux.
MID_RULE_G003_WIN	Vaincre l'Emblème Veronica.
MID_RULE_G006_WIN	Vaincre les Emblèmes Chrom et Daraen.
MTID_StartupTile	Dalle magique
MTID_MagicWall	Barrière
MTID_Pond	Bassin
MPID_PhantomWolf	Création
MPID_H_PhantomWolf	Monstre dépourvu d'âme et créé\nsuivant une méthode secrète.\nObéit aveuglément à son maître.
MPID_Veronica	Veronica
MPID_H_Veronica	Emblème des Héros.\nPrincesse capable de contrôler\ndes héros venus d'un autre monde.
MPID_Chrom	Chrom
MPID_H_Chrom	Emblème des Liens.\nNouveau Saint-Roi comptant sur\nses alliés pour changer le destin.
MPID_Reflet	Daraen
MPID_H_Reflet	Emblème des Liens.\nStratège talentueux ayant\nperdu la mémoire.
MGID_Veronica	Veronica
MGID_H_Veronica	Emblème des Héros.\nDétient une immense magie.\nSe sert de tomes et de bâtons.
MGID_H_EnemyVeronica	Emblème qui sommeillait dans\nle Bracelet de l'Héritière Solitaire.
MGID_Chrom	Chrom
MGID_H_Chrom	Emblème des Liens.\nS'appuie sur la force de son\népée et du lien avec ses alliés.
MGID_H_EnemyChrom	Emblème qui sommeillait dans\nle Bracelet du Saint-Veilleur.
MGID_Reflet	Daraen
MGEID_Veronica	Héros
MGEID_Chrom	Liens
MJID_MageCannon	Mage-canonnier
MJID_H_MageCannon	Soldat cuirassé d'infanterie équipé\nd'un canon portatif. Lance des\nattaques à longue portée.
MJID_PhantomWolf	Loup fantôme
MJID_H_PhantomWolf	Ces loups se déplacent à grands pas,\nsurprenant les proies qu'ils lacèrent\navec leurs crocs maudits.
MIID_Trahison	Talion
MIID_H_Trahison	Lance de guerre dont émane\nune aura d'un autre monde.
MIID_Levanche	Vengeance
MIID_H_Levanche	Hache de guerre dont émane\nune aura d'un autre monde.
MIID_Chocolate	Lame choco
MIID_H_Chocolate	Une épée exhalant un doux parfum.\nL'unité peut consommer cet objet\npour récupérer des PV.
MIID_SoftCream	Corneglace
MIID_H_SoftCream	Une lance exhalant un doux parfum.\nL'unité peut consommer cet objet\npour récupérer des PV.
MIID_Lollipop	Friandache
MIID_H_Lollipop	Une hache exhalant un doux parfum.\nL'unité peut consommer cet objet\npour récupérer des PV.
MIID_Croissant	Arc-au-beurre
MIID_H_Croissant	Un arc exhalant un doux parfum.\nL'unité peut consommer cet objet\npour récupérer des PV.
MIID_Tiramisu	Tome tatin
MIID_H_Tiramisu	Un tome exhalant un doux parfum.\nL'unité peut consommer cet objet\npour récupérer des PV.
MIID_Dango	Dague dango
MIID_H_Dango	Une dague exhalant un doux parfum.\nL'unité peut consommer cet objet\npour récupérer des PV.
MIID_Cupcake	Bâton pâtissier
