MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh... Griss...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nDame Veyle ? Vous avez l'air sous le choc.\nIl s'est passé quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ce n'est rien, euh... Gregory. Je suis navrée.\nNe faites surtout pas attention à moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nEh bien en fait, je suis content d'être tombé\nsur vous. Ça fait déjà un bout de temps que\nje voulais vous parler.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Alors est-ce que ça vous dirait qu'on se pose\nsur cette souche, et qu'on bavarde un peu,\nplutôt que de rester plantés là ?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ah, mais mince alors, j'ai rien qui pourrait\nservir de couverture ! J'aurais dû y penser,\nquand même.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est pas grave. Nous pouvons rester\ndebout et discuter.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Ou alors, vous pouvez vous asseoir sur la\nsouche. Je ne vois aucun inconvénient à\nm'asseoir par terre, pour ma part.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nQuoi ? Mais il n'en est pas question.\nJe ne pourrais jamais vous demander\nde faire ça.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Asseyez-vous sur la souche, s'il vous plaît.\nJe me sentirais trop mal à l'idée que vous soyez\nassise à même la terre à cause de moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis navrée. Je n'avais pas l'intention\nde vous rendre la tâche aussi difficile.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nNe vous excusez pas ! C'est juste que...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Mais vous tremblez ! Est-ce que vous\nallez bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOui. C'est juste que le fait de vous voir...\nfait remonter quelques souvenirs à la surface.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nDes souvenirs de ce monde, c'est ça ?\x0E\x04\x02\x00
