MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nLe conseil de guerre ne va pas commencer\navant un moment. Je vais devoir trouver\nà m'occuper.\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Il fait doux et le soleil brille. Peut-être devrais-je\nsimplement profiter de ses rayons... Aah...\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Oh, je crois que je me suis assoupie.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Hein ? D'où sort ce morceau de viande rôtie ?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Quelqu'un a oublié de manger ?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ça devient une habitude, chez moi, ces siestes\ninopinées.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Hmm... Encore un morceau de viande rôtie\nqui traîne par terre. C'est bien mystérieux...\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Le propriétaire de cette pitance doit pourtant\navoir remarqué que deux morceaux manquaient\nà l'appel...\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Zzzz...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nParfait, elle dort à poings fermés.\nEn avant pour l'en-cas secret !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nPlus un geste.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nAh !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nPrincesse de Solm, c'est vous qui déposez\nde la viande auprès de moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nQuoi ? Ha ha ! Non.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nAlors expliquez-moi ce que vous faisiez\navec ce rôti.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nC'est un accessoire de mode.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Bref, désolée de vous avoir dérangée. Salut !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nUn instant ! Je voulais vous demander...\x0E\x04\x02\x00
MID_RELIANCE_C_#019	C'est inutile, elle est partie.\nTout de même, c'est curieux...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Mon rôti, tu croustilles !\nViens à mes papilles ! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04エル\nVous étiez bien cachée, jeune princesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nAh ! Dame Nel !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04エル\nJ'aimerais m'entretenir avec vous au sujet\nde la nourriture que vous déposez devant moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nJ'imagine que ce n'est plus la peine de nier.\nJ'avoue, c'est bien moi. Vous avez l'air si\nfaible en ce moment.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Chaque fois que je vous vois, vous êtes\nen train de dormir par terre.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nJe me suis dit qu'un bon morceau de rôti\nvous redonnerait un peu de tonus.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nJe suis désolée... De toute évidence, mes siestes\nau soleil vous ont valu bien du souci.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	J'apprécie votre sollicitude, mais je ne vois\ntoujours pas le rapport avec le rôti.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nLa nourriture, ça fournit de l'énergie, pas vrai ?\nAlors plus on mange, mieux on se sent !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04エル\nCeci est peut-être vrai pour votre espèce. Mais\nce n'est pas ça qui... me redonnera du tonus,\ncomme vous dites.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Puisque c'est là votre objectif, je vous\nsuggérerais volontiers une autre approche.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nEh, je n'y avais même pas pensé ! Vous avez\ndes idées ? Allez-y, je suis tout ouïe !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\nLa chansonnette que vous entonniez tout à\nl'heure était très séduisante. C'est peut-être\nune piste à étudier.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nBien sûr ! Laquelle c'était ? « Rencard avec un\nen-cas » ? « Ma barbaque casse la baraque » ?\n« De la bidoche plein les popoches » ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nJ'ignorais qu'il y en avait autant... Et je ne sais\npas laquelle c'était. À vous de choisir.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nQuand je pense que vous\nvoulez m'entendre chanter !\n♪ C'est mon heure de gloire ! ♪\x0E\x04\x02\x00
