MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nHmm, La Roue de Fortune, à l'endroit...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nBonjour, Seadall. Qu'est-ce que vous faites ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nJ'affûte mes talents de divination au moyen\nd'un jeu de tarot.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nSi je suis plus connu pour ma carrière de\ndanseur, la divination est un art auquel je\nm'adonne tout aussi volontiers.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nVous excellez déjà, mais vous poursuivez votre\npratique ! Quelle détermination !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nJ'ai mes raisons pour cela...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nQuitte à pratiquer, souhaitez-vous que je lise\nvotre avenir, Kagetsu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nOh, ce ne sera pas nécessaire, je sais\nle faire aussi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nPréparez-vous... Hmm... Démonstration !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nTrès bientôt, vous allez consommer...\nUne tranche de viande entre deux morceaux\nde pain !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nC'est parfaitement exact, mais comment\navez-vous...\x0E\x04\x00\x00
