MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIl fait un temps superbe aujourd'hui, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nEn effet. C'est une journée idéale pour\ndéguster une tasse de thé.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nSurtout de celui que tu prépares, Etie.\nJe n'en connais pas de meilleur !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nエーティエ\nC'est... gentil à vous. Vous en voulez\nune autre tasse ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nN-Non... Il ne faut pas abuser...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\nOh... Comme vous voulez... Argh...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nAaaagh ! Je... Je n'y tiens plus...\nJ'abandonne !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nVous avez lâché votre tasse le premier.\nJ'ai donc gagné.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nOuais. Et à la loyale, Etie. Je n'ai pas d'excuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nCela dit, j'ai l'impression que nos tasses de\nthé spécial musculation sont particulièrement\nlourdes aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nVous ne croyez pas si bien dire.\nJe les ai lestées, en fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nÇa explique pourquoi j'avais tant de mal\nà la soulever.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nNe vous lamentez pas. La voie du muscle\nest longue et cahoteuse, et vous commencez\nà peine.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nエーティエ\nNos dégustations de thé n'iront qu'en\nse corsant à partir de maintenant.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe l'espère bien. Levons nos tasses\nà la force !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nÀ la force !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm. Tu en es sûre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nエーティエ\nSûre et certaine.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nVous ne partirez pas sans avoir bu mon\nnouveau fortifiant musculaire amélioré,\net ce jusqu'à la dernière goutte.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nSoit, mes muscles valent bien ça !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nエーティエ\nBien parlé !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nJ'ai effectué de nombreuses recherches pour\nl'élaborer. Effet garanti.\x0E\x04\x00\x00
