MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nCette île a quelque chose de particulier...\nOn dirait qu'une énergie magique en émane...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06セリカ\nLe sanctuaire marin se trouvait dans un lieu\ntrès similaire.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nDe quel genre d'endroit s'agissait-il ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06セリカ\nIl se trouvait dans le détroit de Novis,\nau large de Zofia. Une grotte y abritait\nun autel dédié à la déesse Mila.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nJe me demande si cet endroit recèle également\nun autel.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06セリカ\nRevoir cette île me rappelle cette époque.\nJe commençais à peine à découvrir la vie.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06セリカ\nJ'étais tellement obstinée par mes propres\nidéaux que je n'ai pas su écouter mes alliés.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nÇa ne vous ressemble pas. Pas telle que\nje vous connais, en tout cas.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セリカ\nÀ l'époque, je me rendais au temple de Mila\ndans l'espoir d'y découvrir le moyen de sauver\nma patrie.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06セリカ\nSur cette île, nous avons dû faire face à un\nnécrodragon. Il aurait pu tous nous tuer.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06セリカ\nNous venions tout juste d'affronter une bande\nde pirates... Quand j'y repense, je me rends\ncompte de notre inconscience.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nIl me semble que vous aidiez les gens\nau cours de vos pérégrinations.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06セリカ\nAuriez-vous donc fait les mêmes choix que moi,\n\x0E\x06\x03\x00 ?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nNaturellement. Il m'est impossible d'ignorer\nquelqu'un dans le besoin, peu importe le\ndanger de la situation.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06セリカ\nJe savais que vous répondriez ça. Vous êtes\nfort\x0E\x0A\x00\x06
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nJe ne suis pas sûr\x0E\x0A\x00\x06
MID_OP1_#017	\x0E\x03\x02\x08\x06セリカ\nVotre épreuve est ici.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06セリカ\nBattez-moi en combat, et le lien qui nous unit\nn'en sera que plus solide.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セリカ\nPrenez votre arme, et voyons jusqu'où votre\ncourage peut vous mener.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08リュール\nJe comprends, et je vais gagner !\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02b\n\x0E\x05\x01\x14\x06セリカ\nSmile\n\x0E\x03\x02\x08\x06セリカ\nLes préparatifs pour le combat sont\nterminés. Commençons.\x0E\x04\x00\x00
