MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJe suis vraiment contente de devenir l'amie\nd'un autre Dragon divin... Nous allons avoir\ntellement de choses à nous dire !\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJ'ai aussi hâte que nous puissions bavarder.\nNous allons sûrement devenir d'excellent\x0E\x0A\x00\x06
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nC'est étrange, non ? Nous sommes tou\x0E\x0A\x00\x08
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nMerci pour le compliment, Tiki. Vous avez\nvous aussi de très jolis cheveux. Ce vert\nvous donne un air un peu mystique.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08リュール\nIl m'arrive parfois de faire des cauchemars...\net tout particulièrement après avoir combattu\ndes Aberrations.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04チキ\nJ'avais parfois des cauchemars moi aussi,\nquand j'étais toute seule. Mais je vais mieux,\nmaintenant que vous êtes tous avec moi !\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x06\x04チキ\nAlors je vais rester veiller à vos côtés pour\nchasser tous les mauvais rêves, vous verrez.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci, Tiki. Je suis content\x0E\x0A\x00\x06
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nNous autres les Gardiens avons servi le Dragon\ndivin pendant des générations. C'est également\nun honneur de vous servir.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04チキ\nDans ce cas, soyons amis ! Discutons de choses\net d'autres, et apprenons à nous connaître !\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nTiens, que fabriquez-vous donc avec ces\nbaguettes de bois ? Cela semble divertissant !\nJe peux vous regarder ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe vous en prie. Je me réjouis d'avoir piqué\nvotre curiosité, Dame Tiki. On désigne cette\nbesogne sous le nom de « tricot ».\x0E\x04\x00\x00
