MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nOh ! Je vous salue, Votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nBonsoir, Amber. Avez-vous aussi entendu\nces drôles de bruits, à l'instant ? Était-ce vous,\npar hasard ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nEn effet. Je lançais un appel à mes vieux amis\nles alpagas, tout là-bas dans mon village natal.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nJe viens d'une pittoresque petite bourgade,\noù on élève des alpagas. J'ai grandi entouré\nde ces animaux !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nParfois, j'ai un peu le mal du pays, et mes amis\ntouffus de la ferme me manquent...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nLes nuits où je me sens vraiment trop esseulé,\nje viens ici, je lève la tête vers le ciel étoilé,\net je leur lance un appel.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOooh, c'était donc ça, ce bruit bizarre...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nC'était juste un cri d'alpaga ! Quand je lance\nun appel à mes amis, c'est dans leur langue.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nLeur... langue ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nJe sais, je sais... Cela doit sembler ridicule.\nIls ne m'entendent sûrement pas, d'aussi loin...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nMais c'est ma façon de chasser ma tristesse !\nQuand je leur lance un appel, j'ai l'impression\nde les avoir à mes côtés.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nJe ne trouve pas cela ridicule. Je suis sûr\x0E\x0A\x00\x06
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nOh ! Merci, Votre Divinité. Vous êtes si aimable !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nBonjour, Amber. Étiez-vous encore en train\nd'appeler les alpagas de votre village natal ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nJe vous salue, Votre Divinité !\nEh oui, c'est bien cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nPuis-je vous demander ce que vous venez de\nleur dire, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nOh, je leur ai dit : « Comment ça va,\nles potes ?! »\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nC'est... comme ça qu'on dit ? Je veux dire...\ndans la langue des alpagas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nTout à fait. Si j'avais posé la question là-bas,\nà l'écurie, ils m'auraient répondu aussitôt.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nVraiment ?! Comme c'est mignon !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nOui, je trouve aussi ! C'est super mignon !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nJe n'aurais jamais imaginé me retrouver un jour\nà leur lancer des appels d'aussi loin...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nÀ vrai dire, je n'aimais guère mon village natal.\nUn lieu perdu au milieu de nulle part, sans rien\nd'intéressant à des lieues à la ronde...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nJe n'avais qu'une idée en tête, c'était de m'en\naller. « Un jour, je quitterai ce tas de fumier\net je deviendrai un héros ! »\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nEt voilà que, devenu vassal, mon village\nnatal me manque plus que jamais.\nJe me sens esseulé...\x0E\x04\x00\x00
