MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nC'est peine perdue. C'est fatigant de rien\ncomprendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nQuelque chose te turlupine, mon garçon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nOh, bonjour. En fait, j'essaie de me dépatouiller\navec ce livre.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nTu lis à une heure indue, à ce que je vois. Ta\ndétermination est digne de louanges. Qu'est-ce\nque tu étudies, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nLa médecine.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nHmm. Tu as l'air bien fatigué. Ce ne doit pas\nêtre facile, de se concentrer à une heure si\ntardive.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nC'est vrai que je manque de sommeil, mais il y a\ntellement de choses à mémoriser.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nTu te bats le jour et tu t'instruis la nuit. Quand\non brûle la chandelle par les deux bouts, on\nn'en retire rien de bon, mon garçon.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nTu risques d'épuiser ton corps avant même de\npouvoir rendre service aux autres.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nJe sais que vous avez raison, mais...\x0E\x04\x00\x00
