MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMessire Lindon ? Quelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nIl me coûte de l'admettre, mais mes lombaires\nme font terriblement souffrir, ces temps-ci.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リンデン\nJ'ai beau avoir suivi l'entraînement des\nchevaliers royaux d'Elusia, on ne peut rien\ncontre les agissements du temps.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nBalivernes. Vous êtes un sage de grand talent\net en pleine possession de vos moyens, à mon\navis.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nMon esprit est plus acéré que jamais, vous avez\nraison. Mais mon corps décline à vue d'œil.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nVous n'êtes plus un fringant jeune homme non\nplus, vous savez. Diriez-vous sérieusement que\nvous n'avez jamais été en si bonne forme ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne prétendrai pas avoir conservé l'endurance\nou les réflexes de ma jeunesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nヴァンドレ\nMais ce que j'ai perdu, je l'ai compensé\npar mon expérience.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nIl ne sert à rien de s'apitoyer sur son âge.\nContentez-vous de faire ce que votre corps\nvous permet.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nHa ha ! C'est très astucieux !\nJe devrais suivre vos préceptes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nJ'accuse peut-être le poids des années, mais\nje suis toujours capable de tenir la distance\nface aux jeunes !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nAbsolument, Messire Lindon.\nVoilà de sages paroles.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nUne partie de moi aspire au repos du crépuscule\nde ma vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nMais vous m'avez convaincu de ne pas encore\nraccrocher les gants.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nUn problème, Messire Lindon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nJ'ai trouvé un tome des plus fascinants.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nGrâce à ce savoir, je pourrais bien être en\nmesure de développer une toute nouvelle forme\nde magie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nC'est intéressant. De quel genre de magie\nparlez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nVous n'y croirez pas, mais c'est un sort pour\nretrouver la jeunesse.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nIl va de soi qu'un tel sort ne saurait exister.\nÀ moins que... ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nC'est encore théorique pour le moment. Rien ne\ngarantit que j'obtienne des résultats, même si\nj'en maîtrise les propriétés.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nMais si j'y parviens, nous pourrions nous battre\nà armes égales avec nos jeunes camarades.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nDans mon état, je ne suis pas encore décrépit,\nmais si je retrouvais mes belles années, je serais\nla terreur des champs de bataille.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nEt bien plus que la guerre, ce type de magie\npourrait modifier la société telle que nous la\nconnaissons.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nSi je progresse dans le domaine, je vous\npromets que vous serez le premier à bénéficier\ndu sort.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
