MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYaaah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nIncroyable !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nOui. Qui apprend à frapper avec une telle force\nsaura écraser tout assaillant.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nEn vérité, j'ai été fort surprise que vous me\ndemandiez des leçons de combat à mains\nnues.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nJ'en déduis que vous escomptez avoir une\nconversation musclée. Avec quelque débiteur,\npeut-être ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Non, il ne s'agit pas de cela.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nJ'ai réalisé que je pouvais perdre mon arme\nau combat... ou être victime d'une embuscade\nalors que je ne suis pas armé\x0E\x0A\x00\x06
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nDans tous les cas, il est bon d'apprendre à\nfaire face en combat rapproché.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nJe vois. C'est un raisonnement très sensé,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nFort bien. Je vous enseignerai donc l'art\nancestral de la baston.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nCelui de cultiver un esprit indomptable.\nCelui de faire fuir l'ennemi d'un simple\nregard.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nVous avez beaucoup à apprendre de moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nTant mieux. Je suis prêt\x0E\x0A\x00\x06
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nBien. Je ferai de vous la terreur des\nbagarreurs. Allons-y !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nLors d'un combat à mains nues, le premier\ncoup porté est essentiel. La victoire appartient\nà celui qui frappe tôt.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nIl convient par conséquent d'être agile ! Assez\nagile pour fondre tel un rapace sur sa proie !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nFaire preuve d'agilité. C'est noté.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nAinsi, même si vos adversaires prennent\nl'initiative du combat, vous serez en mesure\nd'esquiver leurs coups.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nJe comprends...\x0E\x04\x00\x00
