MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nRegardez cet endroit ! Je ne peux pas le croire...\nC'est impossible !\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nQu'est-ce qui ne va pas, Eirika ?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nエイリーク\nC'est la réplique exacte de... Je pourrais parier\nque c'est l'endroit où tout a changé pour moi.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nTout a changé ? Comment, au juste ?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nエイリーク\nJe faisais partie de la famille royale de Renais.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nエイリーク\nNos proches voisins. l'empire de Grado, étaient\ndes alliés depuis des siècles.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nエイリーク\nUn jour, sans aucune mise en garde,\nl'empire de Grado nous a envahis.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nCela a dû être très éprouvant, de vous faire\nattaquer par des alliés de longue date.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0C\nエイリーク\nEn tant que membre de la famille royale, mon\nfrère et moi nous sommes joints à nos amis\npour combattre et protéger notre peuple...\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0C\nエイリーク\nLa bataille finale eut lieu ici-même.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0C\nエイリーク\nJe sais que ce n'est pas le même endroit et\nqu'il est juste similaire, mais j'ai l'impression\nde me retrouver dans le passé.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nVous n'êtes pas obligée de continuer.\nJe sais que c'est un souvenir douloureux.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nエイリーク\nJe... J'ai perdu un ami très cher ce jour-là.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nMais vous n'avez pas perdu espoir. Vous avez\ncontinué à vous battre. Alors que vous étiez\nconfrontée à une perte terrible.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0C\nエイリーク\nJe... Voulez-vous combattre contre moi ? Ici ?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nエイリーク\nMes sentiments à propos de ce jour sont\ncomprimés. Mon cœur renferme un tel chagrin...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0C\nエイリーク\nJe pourrai peut-être surmonter cette peine\nen me battant. Ah, je croirais presque entendre\nmon frère en disant cela...\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nJe serais heureu\x0E\x0A\x00\x0A\x02x\x04se de me battre contre vous.\nCependant, je n'ai pas l'intention de perdre.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0C\nエイリーク\nEh bien, vous ne feriez pas long feu si vous\nne tentiez pas de gagner.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0C\nエイリーク\nEt si vous gagnez, nos liens n'en seront\nque plus forts.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nCommençons, \x0E\x06\x03\x00 !\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x1A\nエイリーク\x0CStrike\n\x0E\x03\x02\x0C\nエイリーク\nHmm. Je ne vois pas de faille dans votre\ndéfense, mais cela ne signifie pas que vous\ngagnerez facilement.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nMe battre contre vous ici. C'est si étrange...\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nSmile\n\x0E\x03\x02\x0A\x08リュール\nC'est également ce que je ressens.\nMais vous affronter ainsi me rend plus fort\x0E\x0A\x00\x06
MID_BT1_#003	\x0E\x05\x01\x18\nエイリーク\nRelax\n\x0E\x03\x02\x0C\nエイリーク\nVous étiez fort\x0E\x0A\x00\x06
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x16\x08ロサード\nSmile\n\x0E\x03\x02\x0A\x08ロサード\nJe ne pensais pas avoir l'occasion de combattre\nà vos côtés si longtemps, Eirika. On s'est\nbien amusés !\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nJe suis heureuse que vous ayez fusionné\navec moi. Avec vous, les jours passent\net ne se ressemblent pas.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x1C\x08ロサード\x10Surprise\n\x0E\x03\x02\x0A\x08ロサード\nEh bien, merci ! Enfin, vous allez me faire\nrougir, quand même...\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x03\x02\x0C\nエイリーク\nHé. Alors, levez votre arme, ou je vais vous\nmettre encore plus dans l'embarras.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nEh bien, Eirika, c'est le moment de voir laquelle\nd'entre nous se bat avec le plus de grâce.\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe m'excuse d'avance si mes compétences\nvous font vous sentir toute petite.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x03\x00\x10\nエイリーク\x02b\n\x0E\x05\x01\x18\nエイリーク\nSmile\n\x0E\x03\x02\x0C\nエイリーク\nInutile de vous excuser. Voir vos progrès\nen tant que guerrière a été un plaisir.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x18\nエイリーク\nAngry\n\x0E\x03\x02\x0C\nエイリーク\nMais cela ne signifie pas que j'ai l'intention\nde perdre !\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nVous êtes devenu\x0E\x0A\x00\x06
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nMerci du compliment. Vous avez toujours\nbeaucoup compté sur votre frère, n'est-ce pas ?\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0C\nエイリーク\nEh bien... Nous sommes de la même famille.\nEt nous avons besoin de nous soutenir\nmutuellement.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nJe n'avais pas vu les choses sous cet angle-là.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nVous devez savoir que je compte sur vous,\nEirika. J'ai confiance en vos opinions et en\nvos capacités.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0C\nエイリーク\nMerci. Je voulais simplement aider votre cause,\ncomme d'autres m'ont aidée.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0C\nエイリーク\nJe suis si heureuse de faire partie de cette\naventure, et de pouvoir tous vous être utile.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nVous m'avez sauvé\x0E\x0A\x00\x06
MID_ED1_#009	\x0E\x03\x02\x0C\nエイリーク\nHa ha ! Vous devriez avoir davantage confiance\nen vous.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0C\nエイリーク\nTant que nous aurons foi en nos capacités,\nnous pourrons nous soutenir les uns les autres.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nC'est une bonne vision des choses.\nJ'espère que vous resterez avec nous, Eirika.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0C\nエイリーク\nJe l'espère également, \x0E\x06\x03\x00.\nJe suis sûre que vous pouvez sauver ce monde.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
