MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHé, c'est vous, Lapis, pas vrai ?\nJe vous ai cherchée partout !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nIl paraît que vous êtes vachement douée pour\nfabriquer des trucs avec tout ce qui traîne.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nEuh, oui. C'est bien moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nGénial ! Je sens déjà le parfum des bonnes\naffaires.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nMoi, c'est Mademoiselle Anna, la marchande\nqui coupe du bois et casse les prix !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nOh. Euh... d'accord. C'est un plaisir de faire\nta connaissance, Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nAllez, pas de chichis entre nous, appelez-moi\njuste Mademoiselle Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nPour faire court, on devrait faire des affaires\nensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nJe... ne suis pas sûre de te suivre.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nC'est pas compliqué ! Vous fabriquez des trucs\nmignons, et moi je rameute la clientèle !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nEt bam ! Le carton assuré. Je suis contente,\nvous êtes contente, le client est content.\nC'est du gagnant-gagnant-gagnant !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nVous aurez votre part pour le travail fourni,\nbien sûr. Alleeeez ! Sinon je me mets à pleurer...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nRalentis un peu, tu veux ? Quel genre de choses\nvoudrais-tu que je fabrique ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nComme je viens du village d'Hivernaire,\nça serait chouette d'avoir un projet en rapport !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nJe vois. Tu voudrais quelque chose qui rappelle\naux gens ton village natal.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nJe vous laisse la recherche et le développement.\nDès que notre produit est prêt, je me charge\nde la publicité et de la vente.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nBien sûr... On fait ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nQuoi, vous me croyez pas ? Vous pensez\nque je peux pas écouler un article parce\nque je suis une gamine ?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nJe vous promets un truc : si j'arrive pas à\nvendre tout ce que vous fabriquez, je vous\ndonne un milliard d'écus !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06アンナ\nVous pouvez qu'y gagner avec une offre\npareille !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nTrès bien. Je vais réfléchir à ce que je pourrais\nfabriquer...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nMademoiselle Anna ? J'ai fabriqué un objet qui\nretranscrit parfaitement l'esprit de ton village.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nQuoi, pour de vrai ? C'était rapide !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nOui. J'ai récupéré des bricoles qui traînaient\nçà et là et j'en ai fait une poupée en forme\nde bonhomme de neige.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\nOh ! C'est trop mignon !\x0E\x04\x00\x00
