MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHah ! Hyah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nTe voilà, Diamant. Je pensais bien que\nje te trouverais ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne, je n'ai pas souvenir d'avoir dit à\nquiconque que je m'entraînerais ici.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nIl se trouve que je sais que c'est ton refuge\npréféré lorsque quelque chose te contrarie.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nHa. Je ne peux rien te dissimuler. Les choses\nn'ont guère changé depuis que j'étais enfant.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nNous passions nos journées à jouer ensemble\ndans les jardins du château, t'en souviens-tu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nJe brûlais de jouer à la princesse, mais tu\nt'arrangeais toujours pour qu'on joue au loup.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nÉvidemment. Ce jeu constitue un excellent\nentraînement.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nDonc...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nTu es venue m'entretenir de la missive\nenvoyée par les nobles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nEn effet. Ils attendent une prompte réponse.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nシトリニカ\nOn m'a envoyée ici pour m'enquérir de ta\nposition quant aux campagnes militaires à venir.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nCes nobles sont en relation avec ma famille.\nEn tant que noble moi-même, je ne peux pas\nignorer leur requête.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, ne me renvoie pas sans me fournir\nune réponse. J'ai passé l'âge de jouer au loup.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nLa guerre rapporte de l'argent. La noblesse ne\nsonge qu'à se remplir les poches.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nQuant à moi, au contraire, je n'entends pas\nmener de guerres au cours de mon règne.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nJe suis ravie d'entendre cela. Les nobles feront\nla grimace, mais je m'occupe d'eux.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nDésolé de te faire repartir avec un tel message...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nÇa ira. Je préfère encore cela aux luttes\ndiplomatiques de la cour qui constituent\nton quotidien.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCitrinne ! Merci encore d'avoir livré ma réponse\naux nobles. Tu m'as soulagé d'un poids.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEt je suis navré si cela t'a posé des difficultés.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nIl ne convient guère à une figure royale de\ns'excuser auprès d'une vulgaire vassale,\nPrince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n« Prince » Diamant ? Tu ne m'as jamais appelé\nainsi. Tu es sûre que tout va bien ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nTout est pour le mieux. Pardonne-moi, Altesse,\nmais une affaire m'appelle...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nPas tout de suite. Dis-moi ce qui se passe.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nJe t'en conjure, Diamant. Je suis dans\nune situation extrêmement délicate.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nIl est dangereux de me montrer, devisant sans\nmanière avec l'héritier du trône de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nTu es ma cousine et nous avons grandi\nensemble. Pourquoi dis-tu cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nLes nobles n'ont eu cure de ta réponse. Je dois\nêtre prudente dans mes rapports avec toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nLes rumeurs vont bon train quant aux collusions\nentre ma famille et le futur roi de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, je comprends.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nLe fardeau que j'ai fait peser sur tes épaules\nest plus lourd que je n'aurais cru, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nNe t'en fais pas, Prince Diamant. Je...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'aurais pas dû me décharger de cette tâche\nsur toi. Je vais régler cette affaire. Maintenant.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nNon ! Tu ne ferais que compliquer davantage\nla situation.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'ai pas le choix. On me dérobe ma cousine\net j'entends bien la récupérer.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nOoh...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nSoit, tu as gagné.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nReprenons donc nos plaisantes chamailleries...\ncomme lorsque je te fais promettre de ne pas\nruer dans les brancards.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nJe préfère ça. Et ne t'inquiète pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\nVoilà qui ne t'engage guère, Diamant. Je veux\nt'entendre le dire : abstiens-toi d'aggraver la\nsituation !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nJe te le promets. Fais confiance à ton cousin,\nd'accord ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nQue vais-je devenir...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nDiamant a-t-il la moindre idée de l'attitude\nqu'un futur roi se doit d'adopter ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe crois qu'on parle de moi. Tu as besoin\nde moi, Citrinne ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh. Non, je... je pensais tout haut. Mais toi,\nas-tu besoin de moi pour quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis juste venu te signaler que j'avais\nécrit aux nobles.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nTu as quoi ? Mais pourquoi ? Tu m'avais promis\nde ne pas aggraver la situation !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNe te mets pas dans cet état. Je n'ai pas\nfait la moindre allusion à toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai affirmé clairement que je ne mènerai nulle\nguerre, mais que je ferai de l'avenir prospère\nde Brodia ma priorité.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nVoilà qui devrait étouffer les rumeurs, non ?\nFinis, les murmures au sujet de prétendues\ncollusions.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\nOui, j'imagine que ça devrait faire l'affaire...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nJe suis navrée que tu aies dû résoudre\ntoi-même ce problème, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nNon, il me revenait de répondre. C'est moi qui\nsuis navré de m'être déchargé de mon devoir\nsur toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nQuant à moi, j'aurais dû opter pour un langage\nplus ferme. En cherchant à les amadouer,\nje n'ai fait que prêter le flanc aux rumeurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nJ'espère que les esprits s'apaiseront bientôt.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nJ'aimerais pouvoir à nouveau danser et\noublier mes soucis, mais il me semble que\nje n'irai plus jamais au bal...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nCela dépend de la façon dont je saurai\nmener mes affaires.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nTu veux dire : dont nous saurons mener\nnos affaires.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEn effet. Il est primordial que chacun œuvre\nà ramener la paix en Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'espère que tu continueras à m'encourager,\nCitrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nBien entendu. Ne sommes-nous pas de proches\ncousins ? Presque des frères et sœurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nOui, c'est toujours ainsi que j'ai vu les choses.\nPourvu que ça ne change jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nDiamant, voudrais-tu jouer au loup ?\nComme nous le faisions autrefois ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nTu ne préférerais pas jouer à la princesse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nNon, pour une fois, je suis d'humeur à jouer\nau loup. Et d'ailleurs... C'est toi le loup !\x0E\x04\x00\x00
