MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nTe voilà, sœurette.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nTu n'as pas l'air de bonne humeur, Rafal.\nQu'est-ce qui t'arrive ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nラファール\nÀ ton avis ? Tu as déjà commencé à combattre\nen première ligne.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Tu ne t'es pas encore remise de tes blessures.\nLaisse-moi monter à l'assaut à ta place.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04エル\nTa sollicitude me va droit au cœur, mais avec\nla dracopierre que tu m'as confiée, cette\ninquiétude n'a pas lieu d'être.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ma capacité à me transformer n'a pas décliné\ndepuis la destruction de ma propre pierre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nCertes...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nPar ailleurs, comme tu le sais, ma nouvelle\npierre a été directement activée par les\nEmblèmes eux-mêmes.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	C'est un morceau de celle qui t'a été transmise\nafin que tu puisses te transformer.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nラファール\nOui. Une chance que la dracopierre manipulée\npar les Emblèmes ait été aussi massive.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Sinon, je n'aurais jamais pu la briser en quatre\nmorceaux et t'en confier deux.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Au début, j'avais peur que cette opération\nn'affaiblisse sa puissance, mais il n'en est rien.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nAbsolument. Alors tu vois, il n'y a aucune raison\nde te tourmenter pour moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nJ'arrêterai de m'inquiéter... si tu me fais\nle serment de m'appeler en cas de danger.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nMerci. Si une telle circonstance se présente,\nje te promets de faire appel à toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nラファール\nEt moi, de répondre présent.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x06\x04エル\nRafal...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nOui ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nJe m'inquiète au sujet de ta blessure.\nTu as pris tous les risques pour me protéger\nlors de la dernière bataille.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Un faux pas et cette blessure se serait avérée\nfatale. Peux-tu au moins me dire comment se\npasse la guérison ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nÇa va, merci. Et je confirme que si j'avais été\ntouché un tout petit plus à droite, c'en était\nfini de moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	On m'a soigné à l'aide d'un bâton,\nmais les cicatrices demeureront.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nTout ça, c'est de ma faute.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nUne cicatrice est un faible prix à payer pour\navoir pu te protéger. Si l'occasion se présente\nà nouveau, j'en ferai autant.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nNon, abstiens-toi. Je t'en conjure.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Tu crois peut-être que je te regarderais\nte sacrifier avec plaisir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nNon. Je sais bien que non.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Mais la pensée de te voir blessée à nouveau\nm'est insupportable.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nJe sais ce que tu ressens.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Mais je me demande quand même pourquoi\ntu ne peux pas t'empêcher d'être si...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nラファール\nJ'ai veillé sur toi pendant mille années après\nque tu t'es sacrifiée pour moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	J'ai alors eu tout le loisir de prendre la mesure\nde ma stupidité.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	L'idée que tu puisses ne jamais te réveiller\nme torturait. J'ai bien failli perdre la raison.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04エル\nRafal...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nラファール\nÉcoute-moi. Je ferais tout afin de ne plus\njamais te perdre.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Rien ne me préoccupe d'autre que ta protection.\nQuoi qu'il advienne de moi, je suis prêt\nà faire face.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Et si j'ai su me faire entendre, alors je n'ai rien à\najouter. Il est temps pour moi de prendre congé.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\nAttends ! Écoute...\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Comment lui faire comprendre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nJe vois que tes blessures sont soignées. Parfait.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nTu as attendu pendant tout ce temps.\nJe suis navrée que ça ait été aussi long.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nLe temps importe peu. Ce coup m'était destiné,\net tu m'en as privé.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Je t'avais pourtant dit que je te protégerais\nquel qu'en soit le prix. Ma parole a donc si\npeu de poids ?!\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Puisque tu as décidé de me dévaster le cœur,\nqu'il en soit ainsi ! Mais ne sacrifie pas ta vie\npar-dessus le marché !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nHé hé ! On dirait que les rôles sont inversés.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nNel !\x0E\x04\x00\x00
