MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nLouis...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nOui, Princesse Ivy ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nTu as toujours l'air si joyeux.\nY a-t-il une raison particulière à cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ルイ\nNon, ce n'est que mon expression habituelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nComme c'est curieux.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nPeut-être me donnes-tu cette impression\nparce que je suis moi-même fort réservée.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nMaintenant que vous le soulignez, il est exact\nque je vous vois rarement assaillie par la joie.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nEt pourtant, quel merveilleux spectacle\nce serait !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nQue suis-je censée comprendre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nQue j'ai un rare talent pour observer des\npersonnes se livrant à des activités sociales.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nHum, ça ne s'arrange guère.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nC'est pourquoi l'idée de vous contempler dans\nun tel contexte me transporte à ce point.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nSon Altesse Ivy, entourée d'amis chers, arborant\nun vaste sourire... Quelle ensorcelante image !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nAbstiens-toi de me confier quelque rôle que\nce soit dans les pièces que tu montes en rêve,\nje t'en saurais gré.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nD'abord, il convient de vous trouver\nun sujet de réjouissance...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nPeut-être pourriez-vous m'accompagner\npendant un moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nAussi rebutants que soient tes desseins,\nla ténacité avec laquelle tu les poursuis\nforce le respect.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アイビー\nFort bien, Louis de Firene, puisque tu nourris\nl'ambition de me faire sourire, je t'invite à\nrecourir à tous les moyens à ta disposition.\x0E\x04\x00\x00
