MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nVotre chevelure resplendit de mille feux, elle\nillumine le champ de bataille tel un sémaphore.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04ロイ\nJe vous remercie. J'ai hérité cette particularité\nde mon père, et c'est donc pour moi l'objet\nd'une grande fierté.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nTant de sel... Est-ce bien raisonnable, Nel ?\nJe doute qu'un plat puisse être fade au point\nd'y verser tout le contenu d'une salière.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nMalheureusement, vous n'aurez pas l'occasion\nd'apprécier l'étendue de mon génie culinaire.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nVous faites face au danger sans jamais trahir\nla moindre hésitation. C'est à se demander\nsi la notion même de peur vous est familière.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04ロイ\nIl m'arrive naturellement d'avoir peur. Faire\npreuve de courage, c'est simplement décider\nque la cause qu'on sert est plus importante.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04ロイ\nPour ma part, la source de mon courage est\nla responsabilité de combattre aux côtés de\nmes amis, que j'aspire à aider et à protéger.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nComme je vous comprends. J'espère pouvoir\nrejoindre un jour, moi aussi, les rangs de ces\namis chers à votre cœur.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nS'il est bon de rappeler que ma force se suffit à\nelle-même sur le champ de bataille... sachez que\nje n'en apprécie pas moins votre aide.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04ロイ\nJe suis heureux de vous l'entendre dire, et\nje m'efforcerai de vous assister au mieux\nde mes capacités.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nVotre père... Quel genre d'homme était-il ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04ロイ\nIl était admirable. Je ne suis qu'un lionceau\ninexpérimenté en comparaison, et j'ose à peine\ncaresser l'espoir de lui ressembler un jour.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nJe pensais avoir gagné en force et en puissance,\nmais je me sens encore... si faible. Cela vous\nparaît-il étrange d'en vouloir ainsi davantage ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x06\x04ロイ\nJe ne vois rien d'étrange à cela, car à mes yeux,\nla notion de puissance n'est intrinsèquement\nni bonne ni mauvaise.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04ロイ\nIl m'a aussi fallu gagner en force pour pouvoir\nmettre un terme aux troubles dans mon monde.\nL'essentiel est de savoir en user à bon escient.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nJe n'ai nullement l'intention de m'écarter de\nla voie que je me suis tracée. Je suivrai votre\nexemple et resterai fidèle à mes idéaux.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQue se passe-t-il, Roy ? Vous ne cessez de jeter\ndes regards dans ma direction. Quelque chose\nne va pas ? Vous pouvez parler sans crainte.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04ロイ\nVous êtes un dragon mage, n'est-ce pas ? Il en\nexiste dans mon monde, mais je n'en ai jamais\nvu aucun qui vous ressemblait.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nLe bruit court que vous ne prenez plus vos\nrepas avec vos compagnons. Est-ce que tout\nva pour le mieux, Zelestia ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis très occupée, voilà tout. Mais m'attabler\ndevant un bon déjeuner ne pourrait me faire de\nmal, c'est vrai. Merci de votre sollicitude.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe considère mes amis comme ma famille, et la\nseule pensée de perdre un être cher à nouveau\nme glace le sang.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04ロイ\nJ'étais en proie au doute, lorsqu'on m'a confié\nle commandement de l'armée, mais j'ai trouvé le\ncourage nécessaire dans le soutien de mes amis.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04ロイ\nPermettez-moi de vous épauler et de vous aider\nà chasser vos craintes, tout comme ils l'ont fait\npour moi.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nMerci, Roy. Je vous considère, vous aussi,\ncomme un membre de ma famille. J'aurai\ngrand plaisir à combattre auprès de vous.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nJe n'avais encore jamais vu pareils vêtements,\nGregory. Votre mise a-t-elle une signification\nparticulière ?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nJe sais que mon apparence est intimidante, et\nje suis le premier à le déplorer. En réalité, c'est\npour dissuader l'ennemi de s'en prendre à moi.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJ'échafaude une stratégie pour mieux s'enfuir\nen cas d'encerclement par l'ennemi. Vous\nvoulez bien me donner votre avis ?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04ロイ\nBien entendu. Cela vous surprendra peut-être,\nmais j'ai commandé toute une armée par le\npassé. Je serais ravi de vous aider.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDites, Roy... La douleur, la peur, toutes ces\nchoses-là... C'est moche, vous trouvez pas ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04ロイ\nAssurément, oui. La douleur et la peur sont de\nterribles maux, et je me donne pour mission de\nles combattre sans relâche.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nMoi aussi. Et pour y parvenir, je ne pourrai\nsans doute pas me contenter de fuir tout le\ntemps. Je vais devoir me battre pour la paix.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x06\x04ロイ\nVoilà bien un point sur lequel nous sommes\nd'accord. Si vous le permettez, j'aimerais\nvous aider à poursuivre cet idéal.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nVous avez accompli d'admirables prouesses\nau combat. Vaincre l'ennemi tout en protégeant\nvos alliés, voilà qui force l'admiration.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nJe crains ne pas être digne de tels compliments.\nJe n'ai fait qu'accomplir le devoir qui est le\nmien, rien de plus.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSi quelqu'un doit être couvert de louanges,\nc'est vous. Même loin du tumulte des combats,\nvous vous comportez avec calme et élégance.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04ロイ\nMa foi, je vous remercie... Mais c'est trop\nd'honneur, vous allez me faire rougir.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nVous êtes de noble lignée, mais pour autant,\nvous faites montre d'une grande humilité\ndans vos rapports avec vos compagnons.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nEt vous maniez l'épée d'une façon admirable,\nde surcroît. Je vous en prie, dites-moi comment\ndevenir aussi remarquable que vous !\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04ロイ\nBien que je n'arrive pas encore à la cheville\nde mon père, j'aime à penser que mon\nexpérience au combat parle d'elle-même.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x06\x04ロイ\nSi tel est votre souhait, je tâcherai de vous\ntransmettre mes connaissances, et nous\nœuvrerons à rétablir la paix dans ce monde.\x0E\x04\x00\x00
