MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci de vous entraîner avec moi, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNon, merci à vous. C'était un honneur de\ncroiser le fer avec un\x0E\x0A\x00\x06
MID_RELIANCE_C_#003	D'ailleurs, me permettez-vous d'ajouter\nun mot ? Avant que nous ne nous séparions.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie. De quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nJe voulais seulement vous faire part de\nl'admiration que vous m'inspirez. Votre\nsincérité n'a d'égal que votre optimisme.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Sans même évoquer la grâce avec laquelle\nvous nous avez accueillis, alors que nous\nvenons d'un autre monde.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Vous ne puisez pas votre autorité de votre\nnature de Dragon divin, mais du fond de\nvotre cœur généreux.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nOh ! Voilà qui me fait très plaisir, mais\nje vous en prie, n'en jetez plus.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	D'ailleurs, vous n'êtes pas mal non plus.\nUn modèle de loyauté et de bravoure\nsur le champ de bataille.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Je suis ravi\x0E\x0A\x00\x06
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nJe vous en prie. C'est le plus élémentaire devoir\nd'un chevalier, que de se jeter sans crainte\nau cœur de la mêlée.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Le simple fait d'accomplir son devoir ne mérite\nnul éloge. Par ailleurs, la reconnaissance n'a\npas tant de valeur.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Ce qui compte, c'est que j'honore le rôle qui\nest le mien et que je vous aide à obtenir\nla victoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nCes mots m'apportent un grand réconfort.\x0E\x04\x00\x00
