MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\nLapis ! Hé, Lapis ! On raconte que tu as tué\nun ours ! C'est vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x04\x03\x04
MID_RELIANCE_C_#003	\x0E\x04\x03\x04
MID_RELIANCE_C_#004	\x0E\x04\x03\x04
MID_RELIANCE_C_#005	\x0E\x04\x03\x04
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nEh bien... oui. Mais que ça reste entre nous,\ns'il te plaît.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nPourquoi ? C'est trop génial !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nEuh... je ne sais pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nLapis, il faut qu'on aille chasser des ours\nensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nJe sens que tu ne prends pas cette histoire\nau sérieux. Les ours sont des animaux très\ndangereux.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nJe suis on ne peut plus sérieuse, je t'assure.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06フラン\nOn raconte qu'un ours féroce rôde dans la forêt\nprès d'ici. Et ça rend les gens nerveux.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nJe me suis portée volontaire pour l'éliminer,\nmais Vander s'y est immédiatement opposé.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nIl a dit, « Tu n'es pas prête, Framme ».\nTu trouves pas ça méchant de sa part ?\nTout ce que je veux, c'est aider !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nJe suis certaine que Vander s'inquiète\nsincèrement pour ta sécurité, Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nNan ! Il est persuadé que je suis trop empotée\npour me frotter à un ours.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nJe dois lui montrer que je suis une gardienne\ndigne de ce nom. Tu peux m'aider à éliminer\ncet ours, Lapis ? S'il te plaîîît ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nOh, Framme...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nC'est d'accord. Si tu prends l'affaire au sérieux,\nje t'aiderai à chasser cet ours.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nMais tu vas devoir m'écouter attentivement\net faire tout ce que je dis. Les ours sauvages\nsont terriblement dangereux.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nC'est promis ! Merci, je sais que je peux\ntoujOURS compter sur toi, Lapis ! Hé hé !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nBon, c'est ici que l'ours a été observé\npour la dernière fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nReste sur tes gardes, Framme.\nL'ours peut surgir de n'importe où.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nVraiment ? Euh, d'accord...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nLe plus important est de rester calme. Ne fais\npas de mouvements brusques, ni trop de bruit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nCompris. Si l'ours prend le dessus sur moi, je\nfais semblant d'être morte. C'est la base de la\nsurvie, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nNon, surtout, ne fais pas ça. Si un ours te\nmenace, c'est important de lui faire face.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nOh. Hm. Vraiment, tu t'y connais en ours.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nCe sont des choses que j'ai apprises chez moi,\nà la campagne. On se faisait constamment\nattaquer par les ours.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nIls venaient écraser et déterrer nos cultures,\net réduire des mois de travail à néant...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nIl n'y avait jamais beaucoup de nourriture pour\ntout le monde, dans mon village. Des attaques\nde ce genre nous mettaient vraiment en péril.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nOh, Lapis. Je n'en savais rien. Pas étonnant\nque tu sois si forte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nLes gens n'ont pas besoin de savoir comment\nj'ai grandi. Garde-le pour toi, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nBien sûr. Ton secret est bien gardé avec moi.\nJ'en apprends tellement ! Je me sens déjà plus\nfor...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nFramme ? Un problème ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nUn nounou... Un nounou...\x0E\x04\x00\x00
