MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x10\nヴェロニカ\x023\n\x0E\x03\x02\x0A\x08リュール\nUne autre île suspendue dans les cieux ?\nC'est incroyable.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nJe sens la présence d'un autre bracelet.\nIl est tout proche, j'en suis certaine.\x0E\x04\x02\x00
MID_OP1_#003	Ah, le voilà ! Le Bracelet de l'Héritière Solitaire !\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nJ'espère que l'Emblème qu'il contient\nse montrera coopératif... Il n'y a qu'un\nseul moyen de le savoir.\x0E\x04\x02\x00
MID_OP1_#005	Entendez notre appel, Emblème des Héros !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJe suis Veronica, princesse impériale d'Embla.\nVeuillez décliner votre identité.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nJe vous salue, Emblème Veronica. Je suis\nle Dragon divin \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP2_#003	C'est un honneur.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\nヴェロニカ\nUn honneur ? Quel mot incongru.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nC'est pourtant un honneur de rencontrer\nun illustre Emblème tel que vous, je ne\nvois rien d'incongru à cela.\x0E\x04\x02\x00
MID_OP2_#006	Et il se trouve que nous avons besoin d'aide,\naujourd'hui plus que jamais. Seriez-vous prête\nà vous joindre à nous ?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nヴェロニカ\nMe joindre à vous ? Devenir votre alliée ?\x0E\x04\x02\x00
MID_OP2_#008	Vous vous trompez lourdement, c'est plutôt\nà vous qu'il revient de demander à intégrer\nles rangs de l'armée emblaine.\x0E\x04\x02\x00
MID_OP2_#009	Enfin passons. J'accepte que vous rejoigniez\nles héros que j'ai invoqués ici depuis d'autres\nmondes.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nVous possédez un tel pouvoir ?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\nヴェロニカ\nOui. Là d'où je viens, cela fait partie\ndes prérogatives de celui qu'on\nnomme l'invocateur.\x0E\x04\x02\x00
MID_OP2_#012	Lorsque je suis devenue un Emblème,\nj'ai développé des dons similaires.\x0E\x04\x02\x00
MID_OP2_#013	Depuis, je fais appel à des héros d'autres\nmondes pour les rassembler ici et causer\nla chute du royaume d'Askr.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nJe n'ai jamais entendu parler d'un royaume\nrépondant au nom d'Askr...\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\nヴェロニカ\nCela est sans importance, vous ferez un pion\nidéal sur l'échiquier de mes ambitions.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x0A\x08リュール\nUne petite seconde...\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0C\nヴェロニカ\nLe temps nous est compté, vous devez\nrejoindre mon armée de héros avant que\nl'invocateur ne vous soustraie à moi.\x0E\x04\x02\x00
MID_OP2_#018	Préparez-vous à combattre, les vainqueurs\nprendront le commandement des vaincus.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\nAttendez ! Je ne souhaite pas vous affronter !\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0C\nヴェロニカ\nVous n'avez pas d'autre choix. Commençons.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴェロニカ\x02b\n\x0E\x05\x01\x1C\nヴェロニカ\x0EStandBy\n\x0E\x03\x02\x0C\nヴェロニカ\nQuand je vous aurai vaincu\x0E\x0A\x00\x06
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre Divinité... Je crains qu'il soit impossible\nd'atteindre l'Emblème Veronica, la physionomie\ndes lieux empêche toute progression...\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴェロニカ\x02b\n\x0E\x05\x01\x1A\nヴェロニカ\x0CNormal\n\x0E\x03\x02\x0C\nヴェロニカ\nEmpruntez ces points de passage\npour arriver jusqu'à moi.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nヴァンドレ\x02t\n\x0E\x05\x01\x18\nヴァンドレ\nAngry\n\x0E\x03\x02\x0C\nヴァンドレ\nNous devrions former deux groupes distincts\net nous diriger vers ces dalles magiques.\x0E\x04\x00\x00
