MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMaintenant que l'Emblème Corrin a rejoint nos\nrangs, tous les anneaux ont été retrouvés.\x0E\x04\x02\x00
MID_OP1_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nEn effet. Il n'y a plus d'anneaux dans la nature.\nEntre Sombron et nous, ils ont tous trouvé\npreneur.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nFaisons un peu le point.\x0E\x04\x02\x00
MID_OP1_#004	Notre camp possède cinq Emblèmes.\x0E\x04\x02\x00
MID_OP1_#005	Lyn, Lucina, Ike, Byleth et maintenant Corrin.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nLe Dragon déchu s'en est approprié sept. Ce\nsont pour la plupart nos anciens alliés.\x0E\x04\x02\x00
MID_OP1_#007	Marth, Sigurd, Celica, Micaiah, Leif et Roy.\x0E\x04\x02\x00
MID_OP1_#008	Sans oublier un autre Anneau d'Emblème que\nses forces ont dérobé à Lythos, l'Anneau des\nJumeaux Célestes.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nSi nous voulons réunir les douze anneaux, nous\nallons devoir attaquer l'ennemi de front.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nVous suggérez d'envahir Elusia ?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x02\x0A\x08アイビー\nRetourner si tôt en Elusia...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nOui, ça risque d'être compliqué.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08アイビー\nEn effet. Mais même si on fait fi de\nce détail, envahir Elusia maintenant\nserait une belle erreur.\x0E\x04\x02\x00
MID_OP1_#014	Ils ont un net avantage : sept Emblèmes et nous\nseulement cinq.\x0E\x04\x00\x00
