MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nLes combats ne sont pas près de cesser.\nSi vous êtes submergé\x0E\x0A\x00\x06
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nMerci. Je devrais m'estimer heureu\x0E\x0A\x00\x0A\x02x\x04se d'avoir\nautant d'amis qui prennent soin de moi.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nEh, Professeur ! Pardon... je ne suis pas l'un\x0E\x0A\x00\x06
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ベレト\nÇa ne me dérange pas. Presque tout le monde\nm'appelait comme ça, après tout.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0A\x08リュール\nAvant d'être professeur, vous étiez...\nmercenaire ? Que font les mercenaires ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06ベレト\nCe sont des forces de combat que l'on peut\nlouer. Nous nous battions pour des nations\nsans leur appartenir.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ベレト\nNos alliés lors d'un combat pouvaient devenir\nnos ennemis lors du suivant.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nS'il y a assez de motifs pour cela, ça peut\ntoujours finir par arriver. Merci pour cette\nleçon, Professeur.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVous semblez toujours si occupé, Vander.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIl y a bien des besognes à effectuer. Et il est\nplus reposant pour l'esprit de s'acquitter de\ntoutes à la fois.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVander, puis-je vous aider ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNon, laissez donc un vieillard vaquer à ses\ncorvées ordinaires. Des soldats au sang jeune\nattendent vos enseignements, Professeur.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nVous travaillez trop dur, Vander.\nNe pouvez-vous pas déléguer quelques-unes\nde vos obligations ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJ'accomplis au quotidien les tâches qu'apporte\nla journée, et ce depuis ma jeunesse. Il n'y a là\nnul fardeau qui vaille la peine d'être délégué.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nCeci dit, vos préoccupations me vont\ndroit au cœur.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ベレト\nJe vois. Gardez-vous cependant d'en faire trop.\nC'est sur le champ de bataille que nous avons\nbesoin de vous, pas à l'infirmerie.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, avez-vous besoin de quelque chose ?\nJe sens votre regard sur moi depuis un\ncertain temps, déjà...\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nPas du tout, je vous admirais, Professeur\nByleth. Mais j'y pense... Professeur ?!\nVous saviez que j'étais là ?!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nClanne, pourriez-vous me parler un peu de\nvous ? Je ne vous connais pour ainsi dire\npas du tout.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nÀ côté du Dragon divin, je n'ai pas beaucoup\nd'intérêt, mais d'accord... Qu'est-ce que\nvous voulez savoir ?\x0E\x04\x00\x00
