MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nVous m'avez beaucoup impressionnée lors de\nnotre dernier combat, Ike. Je dois reconnaître\nque votre force est considérable.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06アイク\nJe préfère me dire qu'il y a toujours\nmatière à s'améliorer.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nJ'aimerais connaître la source de votre\nforce, Ike. Exerçons-nous ensemble, si\nvous le voulez bien.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06アイク\nJ'ignore si vous parviendrez à déduire quoi que\nce soit d'utile lors d'une séance d'entraînement,\nmais pourquoi pas. J'accepte.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nVous dites rechercher constamment à vous\naméliorer, mais je me demande ce que vous\ncomptez faire d'une telle force, au juste.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06アイク\nJe n'ai pas vraiment d'objectif particulier,\nsi ce n'est protéger ceux qui me sont chers.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06アイク\nJ'ai vu suffisamment de malheur et de\nsouffrance dans ma vie, et je veux que\ncela cesse.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nCette compassion est à la source même de\nvotre puissance, et je m'efforcerai de suivre\nvotre exemple.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nラファール\nCertains s'accordent à dire que vous êtes le\nplus redoutable de tous les Emblèmes, mais\npour être honnête, je n'en suis pas convaincu.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06アイク\nEh bien, j'ai déjà connu accueil plus chaleureux,\nmais je dois saluer votre honnêteté.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nAlors, qu'en dites-vous ? Est-ce que je vous\nparais suffisamment fort, maintenant ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nVous avez su vous montrer utile, je dois bien\nl'avouer. J'irais même jusqu'à admettre que\nvous êtes le plus fort... après moi, bien sûr.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nJe crois savoir que vous vous entraînez\nen secret, depuis quelque temps.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nM'entraîner ? C'est bien la dernière chose dont\nj'ai besoin. Je le fais uniquement pour tromper\nl'ennui.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06アイク\nVous n'êtes pas du genre à vous ouvrir aux\nautres, à ce que je vois. Vous me rappelez\nun archer que j'ai connu.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSi vous avez du temps à perdre en palabres,\nvous feriez aussi bien de le passer en ma\ncompagnie.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nC'est donc vous, Ike ? L'Emblème que tout le\nmonde porte en héros ? J'ai beaucoup entendu\nparler de vous.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06アイク\nJe ne suis qu'un humble mercenaire,\nje n'ai rien d'un héros.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nJ'espère que vous mangez convenablement,\nZelestia. Quand viendra le moment de croiser\nle fer, vous aurez besoin d'énergie.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est vrai, j'ai vécu si longtemps que j'en oublie\nles choses simples de la vie ! Que pourriez-vous\nme conseiller ? De la viande, peut-être ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nOn m'a informée que vous étiez à la tête d'un\ngroupe de mercenaires. Commander n'est pas\naisé, vous avez dû traverser de rudes épreuves.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06アイク\nJe mentirais en prétendant le contraire, mais\ncertains de mes amis ont affronté des difficultés\nplus grandes encore.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06アイク\nSi je suis là aujourd'hui, c'est grâce à eux.\nMoi, je n'ai fait que suivre ce que me dictait\nmon cœur.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nVos amis semblent compter énormément pour\nvous, Ike. Si nous combattons ensemble, j'ai\nl'impression que rien ne pourra nous arrêter.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHé, le type au bandeau ! Ce combat,\nc'était vraiment quelque chose.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06アイク\nBandeau ? Oh, vous parlez de ceci.\nAppelez-moi Ike, plutôt.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMerci pour l'autre fois, vous m'avez sauvé\nla mise. Sans vous, j'étais cuit.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06アイク\nC'est tout naturel, même si entre nous, je pense\nque vous vous en sortiez très bien tout seul.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVraiment... Les combats, c'est pas pour moi.\nJ'ai eu assez de frayeurs et de bobos pour\ntoute une vie.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06アイク\nEt pourtant, vous continuez à tenir votre place\nsur le champ de bataille. Cela montre tout votre\ncourage et votre détermination.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nPas vraiment, non. Je me bats uniquement\npar obligation, et je reste un indécrottable\nlâche doublé d'un bon à rien.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06アイク\nC'est totalement faux. Vous êtes un allié\nprécieux, et je sais que je pourrai toujours\ncompter sur vous.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nÀ voir votre façon d'évoluer sur le champ\nde bataille, je peux dire que vous avez\nsuivi un entraînement rigoureux.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nJe m'exerce tous les jours sans exception.\nMes parents étaient des chevaliers de tout\npremier ordre, et je veux les rendre fiers.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nマデリーン\nVous êtes doté d'une force incroyable. Quel\nentraînement particulier suivez-vous pour\nêtre capable de telles prouesses ?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06アイク\nLe même que vous. Je me suis exercé sans\nrelâche dans l'espoir de me montrer digne\nde mon père.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nJe vous ai vue prendre des risques inconsidérés\nau combat. Que s'est-il passé ? Vous pouvez\nvous confier à moi, si vous le souhaitez.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nJ'ai peur de m'être laissée emporter par mon\ndésir de devenir un chevalier d'exception le\nplus rapidement possible.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06アイク\nN'essayez pas d'en faire trop. Ce qui compte,\nc'est accomplir ce que vous pouvez, du mieux\nque vous le pouvez.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nC'est on ne peut plus vrai. Si je puis vous\ndemander une faveur... Acceptez de devenir\nmon maître d'armes !\x0E\x04\x00\x00
