MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nJe dois trouver quelque chose pour mes parents,\nmais quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nSalut, Framme !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh, coucou Anna. Qu'est-ce qui t'amène ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nOh, « Anna » est trop formel.\nAppelle-moi plutôt Mademoiselle Anna !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nOh, d'accord, pardon. Je reprends...\n« Coucou, Mademoiselle Anna. »\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nC'est beaucoup mieux, merci. Alors, qu'est-ce\nqui t'amène au marché, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nJe cherche un cadeau pour l'anniversaire\nde mariage de mes parents.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nOh ! Mais tu es une marchande. Tu aurais\nquelque chose dans ce goût-là à vendre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nFramme, Framme, Framme.\nMais bien évidemment.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nAdmire un peu ! Nulle part ailleurs tu ne\ntrouveras des cadeaux de meilleure qualité\net bon marché qu'ici. Je te le garantis !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nOoh ! Ces bibelots sont adorables ! Je parie\nque cette statuette trouvera parfaitement\nsa place chez eux.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nAllez, on est amies. Si tu la prends, je t'offre\nla gravure de leur nom sans supplément.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nOoh, c'est vraiment tentant. Tu sais que tu es\nplutôt douée, Mademoiselle Anna !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nJ'ai été séparée de ma famille. Une fois toute\nseule, il a bien fallu que j'affûte mes dons de\ncommerçante pour survivre.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nRegarde autour de toi, tout ce que je vends est\nrare et précieux. Je te garantis que tes parents\nvont adorer leur cadeau.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nDans ce cas, je vais me laisser tenter par cette\nstatuette. Et une petite gravure la rendra encore\nplus spéciale.\x0E\x04\x00\x00
