MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x08\x06クラン\nEt comment vous portez-vous ce jour...\nPrince Alfred ? Grand merci... pour votre\ninvitation.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nMmm. Non, c'est trop pompeux. Il me faut\nquelque chose de plus chaleureux.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nQuelque chose vous préoccupe-t-il, Clanne ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nOuah ! D'où est-ce que vous sortez ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nToutes mes excuses. Il m'a semblé entendre\nle nom de mon prince.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nVous n'avez pas rêvé. Le prince Alfred m'a\ninvité à m'entraîner avec lui, tout à l'heure.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nMais je n'ai jamais passé de temps seul avec lui,\nalors j'ai peur de faire une gaffe.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nUne séance d'entraînement privée rien que\npour vous deux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nC'est ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nHmm. Ni une séance seul, ni en groupe...\nQue cela peut-il donc signifier ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nÀ mon avis, il n'y a aucune signification\nà chercher.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nAh, ne prêtez pas attention à mes songeries.\nDites-moi plutôt, étiez-vous en train de répéter\nvotre salutation pour le prince ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nExactement ! Je ne voudrais pas me couvrir\nde honte en me montrant involontairement\ngrossier.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nVous accepteriez d'être mon interlocuteur,\nLouis ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nJe vous parlerai comme si vous étiez le prince\nAlfred, et si je dis quelque chose de déplacé,\nvous pourrez me corriger.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nVoilà une idée épatante. En matière d'étiquette,\nje me plais à penser que je suis une référence !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nVoilà... tout est à présent limpide. Je comprends\nmieux la situation.\x0E\x04\x00\x00
