MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nBonjour, Zelkov ! Moi, c'est Anna, mais vous\npouvez m'appeler Mademoiselle Anna ! Je suis\nravie de vous rencontrer !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nQue voilà une charmante *enfant* ! Que puis-je\nfaire pour toi, ma petite ? Tu as besoin de\nquelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nPuis-je *t'aider* de quelque manière que ce\nsoit ? Manges-tu bien à ta faim ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nJ'ai pas faim du tout, si c'est ce que vous\nvoulez savoir !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'espère de tout cœur ne pas t'avoir *effrayée*.\nCe n'était aucunement mon intention !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nEffrayée, moi ? Sûrement pas ! On en voit des\ntypes bizarres, dans ma branche, figurez-vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nEt quand je veux des friandises, je me les\nachète très bien toute seule !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nJe *vois*. Dans ce cas... tout est pour le mieux.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nEt puisqu'on parle d'acheter, c'est justement\npour ça que vous êtes là.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nOui, oui, bien sûr. *Montre*-moi donc\nta marchandise.\x0E\x04\x00\x00
