MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nLe combat final est proche. Quand vous serez\nprêts, nous approcherons Somniel du portail.\x0E\x04\x02\x00
MID_OP1_#002	Une fois que nous affronterons le Dragon\ndéchu, nous ne pourrons pas revenir en\narrière.\x0E\x04\x02\x00
MID_OP1_#003	Vous avez tout préparé pour\nle combat qui s'annonce ?\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x0A\x08リュール\nSomniel a commencé son ascension... Nous\natteindrons bientôt Sombron.\x0E\x04\x02\x00
MID_OP2_#002	Remportons cette bataille, puis rentrons\nchez nous ensemble.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x08\x06マルス\nOui. Bien sûr...\x0E\x04\x02\x00
MID_OP2_#004	Argh...
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nMarth ! Que vous arrive-t-il ?!\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x08\x06マルス\nJe ne peux plus le cacher, n'est-ce pas ?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nCacher quoi, au juste ?!\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06マルス\nJe dois vous avouer une chose avant que\nnous arrivions, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP2_#009	Le portail a déstabilisé notre monde.\x0E\x04\x02\x00
MID_OP2_#010	Je n'ai pas d'enveloppe corporelle, tout comme\nles autres Emblèmes. Nous risquons d'avoir du\nmal à nous maintenir sous cette forme.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nJe l'ignorais. Si seulement je l'avais su...\x0E\x04\x02\x00
MID_OP2_#012	Mais si c'est le portail qui est en cause, alors\nce n'est que temporaire, n'est-ce pas ?\x0E\x04\x02\x00
MID_OP2_#013	Une fois qu'il sera refermé, vous et les autres\nEmblèmes recouvrerez vos forces.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x08\x06マルス\n...\x0E\x04\x02\x00
MID_OP2_#015	Lorsque le portail se refermera, cela\ncausera une puissante distorsion.\x0E\x04\x02\x00
MID_OP2_#016	Nous ne pourrons pas y résister.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nQue dites-vous ?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06マルス\nQuand le combat sera terminé et le portail\nrefermé, tous les Emblèmes à part vous...\x0E\x04\x02\x00
MID_OP2_#019	cesseront d'exister.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x02\x00
MID_OP2_#021	Alors, même si nous parvenons à vaincre\nSombron... Même si nous refermons le portail...\x0E\x04\x02\x00
MID_OP2_#022	nous vous perdrons,\nvous et les autres Emblèmes ?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06マルス\nC'est exact.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nNous sommes ensemble depuis tout ce temps,\net vous allez disparaître comme ça ?\x0E\x04\x02\x00
MID_OP2_#025	Je vous en prie, Marth... Je ne veux pas vous\nperdre, ni vous ni les autres ! Nous avons\nbesoin de vous !\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06マルス\nLaisser le portail ouvert mènerait le monde\nà sa perte. Préféreriez-vous cela ?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nNon, mais...\x0E\x04\x02\x00
MID_OP2_#028	\x0E\x03\x02\x08\x06マルス\nNous, les Emblèmes, existons uniquement pour\nporter secours à ce monde.\x0E\x04\x02\x00
MID_OP2_#029	Nous ferions l'impensable pour aider les\nhabitants d'Elyos. Même si cela signe notre\narrêt de mort.\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x0A\x08リュール\nAlors notre promesse de reconstruire Elyos,\nnotre projet de parcourir le monde... Rien de\ntout ça ne se concrétisera ?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x08\x06マルス\nJe suis vraiment désolé, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x0A\x08リュール\nNon, ne le soyez pas.\x0E\x04\x02\x00
MID_OP2_#033	Je vous ai fait promettre... bien trop de choses.\x0E\x04\x02\x00
MID_OP2_#034	Mais quand j'imaginais l'avenir avec vous à\nmes côtés... ça me réchauffait le cœur.\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x08\x06マルス\nIl y a une promesse que je peux tenir.\x0E\x04\x02\x00
MID_OP2_#036	À Lythos, le jour de votre réveil... Que vous\nai-je dit quand vous m'avez invoqué ?\x0E\x04\x02\x00
MID_OP2_#037	J'ai dit : « Je serai votre allié jusqu'au bout. »\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x0A\x08リュール\nJe m'en souviens.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x08\x06マルス\nJe saurai honorer cette promesse. Jusqu'à\nla fin de cette guerre, jusqu'à ma propre fin,\nje me tiendrai fièrement à vos côtés.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nVous êtes si gentil, Marth. Vous l'avez\ntoujours été.\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x08\x06マルス\nVous aussi. C'est pour cela que\nnous sommes arrivés jusqu'ici.\x0E\x04\x02\x00
MID_OP2_#042	Plus que votre puissance, c'est votre altruisme\nqui nous a permis d'arriver jusqu'ici.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nMerci.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x08\x06マルス\nAlors, préparez-vous. Nous arriverons bientôt\nau portail.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x0A\x08リュール\nJe suis prêt\x0E\x0A\x00\x06
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08リュール\nAlors, voici le portail qui mène vers d'autres\nmondes...\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08ヴェイル\nIl est magnifique, mais... d'une froideur extrême.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nVous deux. Approchez.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nSombron !\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0A\x08ヴェイル\nPapa...\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x0A\x08ソンブル\nVous n'auriez jamais dû survivre, et\nencore moins arriver jusqu'ici.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0A\x08リュール\nNous sommes là pour vous empêcher de\ndétruire Elyos.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08ソンブル\nJe n'ai que faire de votre monde pitoyable.\nRetournez-y, et refermez le portail pour\nvivre en paix.\x0E\x04\x02\x00
