MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nC'est bon de pouvoir vous parler après tout\nce temps passé à veiller sur vous en silence,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJe comprends. Je suis content\x0E\x0A\x00\x06
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08リュール\nVous êtes peut-être la personne la plus forte\nque je connaisse, Marth. Comment faire pour\nvous ressembler ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06マルス\nLa force des liens qui se nouent entre amis\npermet d'accomplir de grandes choses.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMon cœur se réjouit de voir comme vous vous\nêtes amélioré\x0E\x0A\x00\x06
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nJ'ai eu la chance d'être entouré\x0E\x0A\x00\x06
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nResterez-vous à mes côtés tandis que nous\ndécouvrons ce que le futur nous réserve,\nMarth ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06マルス\nBien entendu. Des liens tels que les nôtres sont\nles fondations du futur. Jamais ils ne se\ndéferont.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMarth, Roi-Héros, vous tiendrez-vous à\nmes côtés ? Au nom du Dragon divin ?\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06マルス\nAvec joie. Nous avons tous deux un devoir\nà honorer, alors unissons nos forces.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMessire Marth, feriez-vous cas d'une pomme ?\nJe nourris une passion pour ce fruit,\nvoyez-vous.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06マルス\nJe souhaiterais pouvoir vous accompagner, mais\nil m'est hélas impossible de manger. J'apprécie\ntoutefois le plaisir qu'elle vous apporte.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVous êtes fort habile de vos mains, Vander.\nJ'ignorais que vous saviez tricoter.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nCe n'est rien de plus qu'un passe-temps,\nque j'ai choisi pour ses avantages pratiques\net l'apaisement qu'il me procure.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nQuand la paix sera revenue, j'envisage de\nme plonger corps et âme dans le tricot.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06マルス\nExcellent dessein. Mettons fin à cette guerre,\net faisons du monde un endroit où l'on peut\ntricoter en paix.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nJe vous ai vu à l'œuvre au combat. Vous êtes\nassez doué, je suis content de travailler\navec vous.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, ouah ! Vous trouvez que je suis doué ?\nQuel honneur ! Je promets que je vais m'en\nmontrer digne.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nMessire Marth, est-ce qu'il existe quelqu'un que\nvous admirez ? Quelqu'un que vous ne pouvez\npas regarder sans vous dire « Ouah » ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06マルス\nJ'admire tous mes amis avec lesquels\nj'ai tissé des liens durables. Vous, par\nexemple, Clanne.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06クラン\nJ'ai compris pourquoi on vous appelait\nle Roi-Héros. Vous êtes extrêmement\npuissant et vous n'avez besoin de personne.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06マルス\nCe serait une erreur de croire ça. Seul, j'étais\nimpuissant. C'est seulement grâce à l'aide\ndes autres que j'ai pu triompher.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06マルス\nMa vie dépendait de mes amis, tout comme\neux dépendaient de moi. Je me suis battu\npour eux et suis devenu leur héros.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nLa puissance est donc acquise plutôt qu'innée ?\nMerci de m'avoir appris cela, Messire Marth.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06フラン\nJe suis tellement honorée de pouvoir me\nbattre à vos côtés, Emblème Marth. Je ferai\nce que je peux pour ne pas vous ralentir.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06マルス\nN'ayez crainte, Framme. Ensemble, nous\nmènerons ce combat à son terme.\x0E\x04\x00\x00
