MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\nMmh. Que faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nUn *problème* ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nRegarde ça. J'ai reçu une invitation de la part\nd'un certain « sage de la forêt ».\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nCe nom ne me dit *rien*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nÀ moi non plus. Mais il veut que je lui rende\nvisite dans sa hutte.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nAh ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nIl m'a même envoyé une carte pour me repérer\ndans la montagne.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nD'après lui, si j'atteins sa cabane, il me\nremettra une potion censée améliorer\nmon sens de l'orientation.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nJ'ignorais que la chose fût possible, mais à\nen croire ses explications, c'est le cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nUn remède miracle à même de guérir un sens de\nl'orientation défaillant. Le monde n'a pas fini de\nnous livrer ses *secrets*...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nComme tu dis. Seulement, il faut reconnaître\nque mon défaut atteint des proportions\ninsoupçonnées.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nTiens, l'autre jour, je suis parti faire une balade.\nEh bien, figure-toi que j'ai réussi à me perdre\navec une boussole.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est fort *inquiétant*, en effet. Et que\ncomptez-vous faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nJe suis bien obligé d'y aller.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nCe problème me pourrit l'existence, à moi\ncomme à mes alliés. Si cette potion existe bel\net bien, je suis partant.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEn ce cas, je vous souhaite bonne *chance*.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nMerci ! Espérons qu'elle aura l'effet escompté.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAh, vous voilà, Boucheron. Alors, que s'est-il\npassé avec ce *fameux* sage de la forêt ?\x0E\x04\x00\x00
