MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0C\nスタルーク\nExcusez-moi, Princesse Hortensia ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrince Alcryst ? Quoi de neuf ? Vous n'êtes\npas très causant d'habitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nEh bien, je voulais juste, euh...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nスタルーク\nNon, laissez tomber. Ce n'est pas important.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nStop ! Pas question de vous enfuir après\nun préambule pareil !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nAllez, crachez le morceau !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nDésolée. Rien entendu. Plus fort.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nJe, euh... Je...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nS'il vous plaît, apprenez-moi à avoir davantage\nconfiance en moi !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh ! Pas si fort !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nMoins de décibels et plus de détails.\nExpliquez-vous de manière intelligible.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nVous faites toujours preuve d'une assurance\nsans bornes, Princesse Hortensia.\nÇa me fascine.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nJe n'ai pas très bonne opinion de moi... alors\nj'espérais que vous pourriez m'apprendre à\nêtre un peu comme vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, OK ! Ça prend tout son sens.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais c'est ballot, je n'ai pas l'intention de vous\napprendre quoi que ce soit !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'y aurais au moins réfléchi si vous n'étiez pas\nprince de Brodia. Mais vous l'êtes. Donc vous\npouvez oublier ça tout de suite !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nBien sûr, je comprends...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cオルテンシア\nMinute, quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nBrodia a envahi Elusia d'innombrables fois.\nC'est votre droit le plus strict de refuser.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nDe plus, vous ne devriez pas perdre votre\nprécieux temps avec un bon à rien comme moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nÀ vrai dire, ma propre impertinence me choque.\nQuel embarras... Je vais vous laisser.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUne seconde ! Je n'ai jamais dit ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nC'est mieux ainsi. Je vous prie d'oublier\nque j'ai osé vous aborder ainsi.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nスタルーク\nJamais plus je ne souillerai vos oreilles de mes\npitoyables jérémiades. Vous avez ma parole.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0E\x0Cオルテンシア\nAttendez... Prince Alcryst !\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x0E\x0Cオルテンシア\nJ'étais sûre qu'il allait s'énerver et riposter.\nIl est encore pire que je l'imaginais.\x0E\x04\x00\x00
MID_RELIANCE_C_#028	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe vais devoir trouver un meilleur angle\nla prochaine fois que je le vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nPrince Alcryst.\x0E\x04\x00\x00
