MID_SORTIE_START	Combattre !
MID_SORTIE_START_HELP	Achever les préparatifs et débuter la bataille.
MID_SORTIE_START_CONFIRM	Débuter la bataille ?
MID_SORTIE_START_CONFIRM_YES	Commencer
MID_SORTIE_BACK	Retour
MID_SORTIE_SELECT_UNIT	Unités
MID_SORTIE_SELECT_UNIT_SELECT	Choisissez une unité.
MID_SORTIE_SELECT_UNIT_HELP	Choisir les unités qui combattront.
MID_SORTIE_EQUIP_GOD	Emblèmes
MID_SORTIE_EQUIP_GOD_HELP	Assigner des Anneaux\x0E\x01\x09\x00\nd'Emblèmes aux unités.
MID_SORTIE_INVENTORY	Inventaire
MID_SORTIE_INVENTORY_HELP	Gérer l'équipement\net les techniques.
MID_SORTIE_CHANGE_POSITION	Permuter
MID_SORTIE_CHANGE_POSITION_HELP	Positionner les unités\nsur la carte.
MID_SORTIE_SHOP	Marché
MID_SORTIE_SHOP_HELP	Acheter des armes et\ndes objets.
MID_SORTIE_WEAPON_SHOP	Armurerie
MID_SORTIE_H_WEAPON_SHOP	Acheter des armes.
MID_SORTIE_ITEM_SHOP	Magasin
MID_SORTIE_H_ITEM_SHOP	Acheter des objets.
MID_SORTIE_RELIANCE	Soutien
MID_SORTIE_RELIANCE_UNIT_SELECT	Choisir un allié.
MID_SORTIE_RELIANCE_NONE	Aucun soutien.
MID_SORTIE_BONDS_RELIANCE	Liens
MID_SORTIE_BONDS_RELIANCE_NONE	Aucun Emblème.
MID_SORTIE_RELIANCE_ATTENTION	Vous pouvez entamer des dialogues de lien et\nde soutien à Somniel et sur la carte du monde.
MID_SORTIE_SAVE	Sauvegarder
MID_SORTIE_SAVE_HELP	Sauvegarder votre progression.
MID_SORTIE_BACK_CONFIRM_HELP	Retourner à la carte du monde.
MID_SORTIE_BACK_CONFIRM	Retourner à la carte du monde ?
MID_SORTIE_BACK_CONFIRM_HELP_M026	Retourner à Somniel
MID_SORTIE_BACK_CONFIRM_M026	Retourner à Somniel ?
MID_SORTIE_CONTINUEBATTLE_NOSELECT	Sélection impossible au cours\nd'une série de batailles.
MID_SORTIE_COMMON_TRADE	Permuter
MID_SORTIE_UNIT_ITEM	Gérer objets
MID_SORTIE_UNIT_ITEM_LIST	Objets
MID_SORTIE_UNIT_TRADE	Échanger
MID_SORTIE_UNIT_ENTRUST	Optimiser équipement
MID_SORTIE_UNIT_ENTRUST_WARNING1	Le convoi ne contient pas assez\nd'objets pour équiper cette unité.
MID_SORTIE_UNIT_ENTRUST_WARNING2	L'équipement n'a pas pu être optimisé car\nil n'y a pas assez de place dans le convoi.
MID_SORTIE_UNIT_STORE	Stocker
MID_SORTIE_UNIT_STORE_ALL	Tout stocker
MID_SORTIE_UNIT_STORE_ALL_WARNING	Soit le convoi est plein, soit certains\nobjets ne peuvent pas être mis de côté.
MID_SORTIE_UNIT_SKILL_OPEN	Vous pouvez maintenant gérer vos techniques.
MID_SORTIE_UNIT_SKILL	Gérer techniques
MID_SORTIE_UNIT_CLASSCHANGE	Changer classe
MID_SORTIE_ALL_UNITS_ENTRUST	Tout optimiser
MID_SORTIE_ALL_UNITS_ENTRUST_CONFIRM	Optimiser l'équipement des unités déployées ?\n(Les objets équipés sur d'autres unités seront\nenvoyés dans le convoi.)
MID_SORTIE_ALL_UNITS_ENTRUST_ERROR	Vous pouvez utiliser Tout optimiser après\navoir choisi les unités déployées pendant\nles préparatifs de la bataille.
MID_SORTIE_ALL_UNITS_ENTRUST_Yes	Optimiser
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING1	Le convoi ne contient pas assez d'objets pour\néquiper complètement les unités déployées.
MID_SORTIE_ALL_UNITS_ENTRUST_WARNING2	L'équipement n'a pas pu être optimisé car\nil n'y a pas assez de place dans le convoi.
MID_SORTIE_ALL_UNITS_STORE_ALL	Tout stocker
MID_SORTIE_ALL_UNITS_STORE_ALL_CONFIRM	Envoyer tous les objets dans le convoi ?
MID_SORTIE_ALL_UNITS_STORE_ALL_WARNING	Le convoi ne contient pas assez d'espace\npour stocker tous les objets de cette unité.
MID_SORTIE_ALL_UNITS_ENTRUST_GOD	Tout optimiser
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_CONFIRM	Optimiser les anneaux\x0E\x01\x0B\x00 des unités déployées ?
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_Yes	Optimiser
MID_SORTIE_ALL_UNITS_ENTRUST_GOD_No	Annuler
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD	Tout retirer
MID_SORTIE_ALL_UNITS_STORE_ALL_GOD_CONFIRM	Retirer les anneaux\x0E\x01\x0B\x00 de toutes les unités ?
