MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nN'allez pas croire que je suis ne suis qu'une\nfaible noble. Je suis plus forte que j'en ai l'air.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJe ne vous ai jamais considérée comme faible.\nEt je ne serais jamais parvenu\x0E\x0A\x00\x06
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nCe monde est beau. Mais il me donne la\nnostalgie des plaines vertes et ondoyantes\nde ma patrie.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nÇa a l'air magnifique. J'aimerais pouvoir les\ncontempler de mes propres yeux, un jour.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nVous semblez fatigué\x0E\x0A\x00\x06
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nJ'ai encore parfois des hésitations au combat,\nà cause de mon manque d'expérience.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nJe m'en veux par la suite, je repense à tout\nce que j'aurais dû faire de différent.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x06\x04リン\nN'ayez pas peur de commettre des erreurs.\nVos amis et moi sommes là pour vous aider\nà les surmonter.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nC'est un plaisir de vous voir ainsi déborder\nd'énergie, mais cette tenue légère par un froid\npareil... Je tremble pour votre santé.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04リン\nNon, Vander, soyez tranquille. J'ai toujours\nporté... Maintenant que vous en parlez,\nles Emblèmes peuvent-ils tomber malades ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nVous allez vous épuiser à force de vous tenir\ndroit comme un piquet du matin au soir.\nDétendez-vous ! Souriez un peu !\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSoit, je vais vous satisfaire. Regardez bien.\nUn sourire. Alors, qu'en pensez-vous ?\nAi-je su dépasser vos attentes ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nQuels temps vivons-nous... Sa Majesté Lumera\nqui nous quitte, le Dragon divin qui s'éveille...\nEt Dame Lyn qui se tient à mes côtés.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLa vie emprunte des sentiers tortueux.\nJe ne fais qu'embarquer pour un voyage\ndont elle seule connaît la destination.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x06\x04リン\nIl y a mille ans, je n'aurais jamais cru qu'on\nme ferait un jour à nouveau émaner de l'anneau.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04リン\nVous avez raison. On ne fait qu'embarquer pour\nce voyage, mais il nous gratifie aussi de tant\nd'expériences inattendues...\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nClanne, vous avez l'air triste. Vous n'en\npouvez plus, de vos corvées ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nPas du tout, j'adore être de corvée pour\nle Dragon divin. J'aurais même plutôt peur\nde ne pas avoir assez à faire pour \x0E\x0A\x00\x12\x06lui\x08elle.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nVous avez l'air abattu. Est-ce que ça vous\naiderait, d'en parler ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nEh bien, mes parents me manquent. Est-ce que\nc'est bizarre ? Je devrais être très heureux\nen ce moment, plutôt que déprimé.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nJe viens des plaines, et mon foyer me manque\ndepuis l'instant où je l'ai quitté.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nAh donc vous aussi, ça vous arrive ?\nJe me sens vraiment mieux, maintenant.\nJ'avais peur d'être qu'un minable.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04リン\nPas du tout, cela veut dire que nous sommes\nattachés à nos origines. Vous devriez aller voir\nvos parents dès que vous en aurez l'occasion.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nJe le ferai peut-être. Mais pour le moment,\nje ne conçois absolument pas de quitter\nle Dragon divin.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nVous êtes tellement utile au Dragon divin.\nPresque autant que moi. Oui, presque.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04リン\nVotre dévouement est admirable.\nJe vous promets que je ne me mettrai\njamais entre vous deux.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nIl faut travailler dur pour servir le Dragon divin.\nVous semblez pourtant ne jamais vous en lasser.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nC'est vrai ! Ça me stimule de faire des trucs\npour le Dragon divin. Je crois bien que je\npourrais faire ça toute ma vie.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x08\x06フラン\nLes dragons vivent bien plus longtemps que\nles humains. Ce qui veut dire que je ne serai\npas toujours aux côtés du Dragon divin.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04リン\nPlus on aime quelqu'un, plus il est difficile\nd'envisager la séparation, Framme.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04リン\nMais si vous vous en souciez trop,\nvous ne pourrez pas apprécier le temps\nque vous passerez ensemble.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nVous avez entièrement raison, Dame Lyn.\nJe vais m'assurer de profiter de chaque seconde\npassée en compagnie du Dragon divin.\x0E\x04\x00\x00
