MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nPrincesse Hortensia ! Vous êtes libre, là tout de\nsuite ? Je vous offre une tasse de thé.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nPrince Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe sais bien que je suis adorable, mais n'oubliez\npas que je suis aussi une princesse. Vous n'êtes\npas censé me faire la cour.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nJe n'ai pas la moindre intention cachée, je vous\nle promets ! Je souhaitais simplement discuter\navec vous, en tout bien tout honneur !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nVous pouvez bien faire l'innocent ! Sachez que\nvos frasques sont connues jusqu'en Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nOn parle donc de moi en Elusia ? Fichtre, voilà\nqui est flatteur !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nOn voit que vous n'avez pas entendu les détails.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nQu'importe les commérages, au fond ? Je\nvoulais simplement partager une tasse de thé\navec vous en discutant de nos pays respectifs.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nSans façon, merci. Et puis je n'ai pas le temps,\nma sœur a besoin de moi aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais d'ailleurs, vous êtes prince, vous aussi !\nVous ne devriez pas avoir plein de trucs à\nfaire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nCe sont les femmes qui règnent à Solm, c'est\ndonc ma sœur qui héritera du trône, pas moi.\x0E\x04\x00\x00
