MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nLouis ? Que faites-vous ici ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nOh, bonjour, Votre Divinité. Je ne faisais rien\nqui mérite qu'on s'y attarde, en vérité.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nJe me contentais de contempler ces deux\npersonnes qui devisent entre elles, là-bas.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nHum. Je vois. Et... pourquoi faites-vous ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nExcellente question.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nLe simple fait de demander « pourquoi »\nrecèle toutes sortes d'implications\nphilosophiques.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nMais ma réponse serait probablement...\npour l'instruction.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nObserver les gens en train de discuter\nvous apprend donc quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nPrécisément. Ces rencontres d'apparence\nbadines dissimulent des vérités profondes.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nSi on prend la peine de les observer,\non découvre nombre de détails aussi\nsubtils que ravissants.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nEt puisque je les considère comme des tableaux\nornant une galerie d'art, que pourrait-on bien\nme reprocher ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nEh bien... Il y a peut-être quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nLe bien et le mal vont au-delà des règles\net des lois. Il est question de courtoisie\net de décence.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nS'il s'avérait que ces deux personnes\nn'aimaient pas être regardées, vous cesseriez\nde les observer, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nCela va sans dire, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nJe ne hisserai jamais mon agrément au-dessus\nde leur bien-être.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nJe voulais juste lever toute ambiguïté.\nDans ce cas, ma foi... Je vous laisse à\nvos occupations...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nTrès bien, Votre Divinité. J'espère avoir balayé\nvos inquiétudes, quelles qu'elles aient été.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nSalut, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nAh ! Bien le bonjour, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nÊtes-vous à nouveau en train de regarder\nles gens ? Je peux me retirer, si je vous\nimportune.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nOh, vous ne m'importunez pas le moins du\nmonde. Je songeais à ma famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nJ'ai laissé trois jeunes frères derrière moi\nen quittant mon village.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nVous êtes donc l'aîné ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nOui, le plus âgé de nous quatre.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nOh. Ça n'a pas dû être une sinécure d'assumer\nle rôle de grand frère.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nSans doute que non, d'un certain point de vue.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nNotre mère nous a quittés très tôt, de sorte\nque j'ai dû me charger de leur éducation.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nMais je leur porte une incommensurable\naffection. Nous avons traversé ces épreuves\nensemble, au fond.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nC'est peut-être en veillant sur eux que vous\navez appris à devenir un vassal si brillant.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nIl se peut fort bien que vous ayez raison.\nIl est vrai qu'il en faut beaucoup pour me\ndésarçonner, désormais.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nEt maintenant que j'y pense... Le fait d'avoir\ngrandi dans un tel environnement explique sans\ndoute ce petit passe-temps que j'affectionne.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nEn quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nEh bien, passer toute sa vie dans un foyer\ncomposé uniquement d'hommes donne un\naperçu plutôt limité du monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nJe... Je vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nVos frères cadets s'adonnent-ils au même type\nd'activités ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nNon.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nVoilà qui met à mal votre théorie. Il semblerait\nque ce ne soit que de votre fait, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nHé hé ! Le mystère s'épaissit...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nMerci pour votre aide, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nÇa m'est toujours une telle gageure de trouver\ndes cadeaux pour mes petits frères...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nCe n'est rien. Je suis sûr\x0E\x0A\x00\x06
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nComment avance votre lettre, au fait ? Vous\ndisiez que vous vouliez en écrire une pour\naccompagner les cadeaux ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nC'était là mon intention de base, mais\nj'y ai renoncé.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nPourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nEh bien, si je souhaitais envoyer cette lettre\net ces cadeaux, c'était avant tout parce que\nje ne savais pas quand je les reverrais.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nMais quand l'heure est venue de prendre\nla plume, je me suis retrouvé à fixer mon\nouvrage, incapable d'écrire un mot.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNe vous tracassez pas à chercher des formules\nalambiquées, écrivez simplement ce que\nvous ressentez.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nJe devrais laisser parler mon cœur...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\n« Comment ça va ? Moi, ça va bien... »\nArgh, ces amorces sont bonnes pour\nles bambins.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nNon, il en va de même que pour les cadeaux.\nIls seront heureux d'avoir de vos nouvelles,\nquoi que vous écriviez.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nCe qui compte, c'est d'être clair. Saisissez\ntoutes les opportunités de leur exprimer\nvos sentiments.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nVoilà de sages paroles...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nVous avez raison, naturellement. Merci, je vais\nme fendre d'une missive, finalement.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nEt puisque je leur écris, je vais en profiter\npour leur parler longuement de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nDe moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nMes frères ne doivent pas ignorer plus\nlongtemps quelle merveilleuse personne\nvous êtes.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nVous ne verrez pas d'inconvénient à ce que\nje présente un\x0E\x0A\x00\x06
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nOh, Louis... Ça commence à devenir gênant.\nMais bien sûr, j'en serai heureu\x0E\x0A\x00\x0A\x02x\x04se.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nDésolé\x0E\x0A\x00\x06
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ルイ\nMerci à vous d'avoir pris la peine de me voir,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n... Louis ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ルイ\nSouhaitez-vous une tasse de thé ?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nNon, ça ira, merci. Mais dites-moi,\nde quoi vouliez-vous me parler ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04ルイ\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nVous semblez bien agité, aujourd'hui.\nQue vous arrive-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ルイ\nJe vous présente mes excuses. Moi qui\nespérais que l'angoisse qui m'étreint\nne soit pas trop transparente.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ルイ\nJe vous ai demandé de venir ici pour vous\nposer une question de but en blanc.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ルイ\nEt voilà que mes mains se mettent à trembler,\nque mon visage trempé de sueur s'empourpre,\nque mes pieds semblent de plomb.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nSi quelque chose vous tracasse, demandez-moi\nsimplement. Je vous aiderai du mieux que\nje pourrai.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ルイ\nIl s'agit de mes frères. Ils désirent ardemment\nvous rencontrer, quand la guerre sera finie.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nC'est tout ? Avec plaisir.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ルイ\nNon, ce n'est pas tout. C'est la raison pour\nlaquelle ils souhaitent vous rencontrer qui\nme met dans tous mes états. Comment dire...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04ルイ\nIl semblerait que mes frères aient découvert\nl'importance que vous revêtiez pour moi,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x06\x04ルイ\nLa missive que je leur ai envoyée... On y\ntrouvait un éloge appuyé de votre personne.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x06\x04ルイ\nDans leur réponse, ils ont insisté pour\nrencontrer ce\x0E\x0A\x00\x0A
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ルイ\nIls sont allés jusqu'à joindre à leur courrier\nla bague de famille de ma mère, afin que\nje vous en fasse présent.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nAlors, c'était ça.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ルイ\nJe suis confus de vous mettre dans une\nsituation aussi embarrassante.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nQuel magnifique anneau. Vous me le donnez ?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x06\x04ルイ\nPlaît-il ?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04ルイ\nOui. Oui, je serais heureux que vous le preniez.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nMerci, Louis.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nVous qui vous occupez de votre famille depuis\nsi longtemps... J'ai de la chance d'être l'objet\nde soins aussi expérimentés.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nJ'ai pour vous un cadeau qui lui sera\nparfaitement assorti. L'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x06\x04ルイ\nVous êtes trop bon\x0E\x0A\x00\x08
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04ルイ\nQuand cette guerre sera terminée, je vous\nmontrerai ma maison et nous goûterons\naux raisins qui font la fierté de mes terres.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nJ'en serais ravi\x0E\x0A\x00\x06
