MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPrince Alfred, pourriez-vous consentir\nà une rapide dégustation ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nRedis-moi ça, Bunet ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nPardonnez-moi, Messire. Laissez-moi\nm'expliquer plus clairement.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nC'est au sujet des fleurs que vous arborez sur\nvotre tête. J'aimerais présenter l'une d'elles à\nmes papilles.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu veux goûter une fleur ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nHm, il semble que j'aie fait preuve de trop\nd'audace. Veuillez oublier ce que je vous ai dit.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ha ha ! Tu es tordant, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nY a pas de quoi en faire toute une histoire.\nJe vais essayer de te trouver une fleur comme\ncelles-là.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu pourras la déguster autant qu'il te plaira.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nAu fait, Bunet, tu as l'air fort comme\nun taureau.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nUn taureau, dites-vous ? Souhaitez-vous\négalement prendre part à une dégustation ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nEuh, non, ça ira. Je te faisais seulement\nun compliment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'aimerais avoir les mêmes muscles, mais les\nmiens rechignent à se développer autant que\nje le souhaiterais.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nHm... Une modification de votre régime\npourrait peut-être vous aider.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nSi vous le souhaitez, je peux vous préparer\nun bon petit plat, copieux à souhait.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nSans blague ? Je sauterais de joie !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nEntendu. Ce sera ma façon de vous remercier\npour une de ces fleurs dont je me pourlèche\nd'avance les babines.\x0E\x04\x00\x00
