MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nVoilà. Il n'y a plus qu'à les ranger et à\nles emporter.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nBonjour. Avez-vous besoin d'aide ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nMerci, Messire Rafal, mais ce ne sera pas\nnécessaire. Les outils sont désormais\nparfaitement rangés.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nVous allez passer au rangement des armes,\nn'est-ce pas ? Peut-être puis-je vous assister\ndans cette besogne.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nInutile de vous ennuyer avec cela.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Mais il semble que quelque chose vous\ntourmente. Peut-être est-ce vous qui\navez besoin de mon aide ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nJe me rends bien compte que mes efforts pour\nêtre aimable sont vains. Inutile de remuer\nle couteau dans la plaie.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nCe n'était nullement mon intention. Ce monde\nest encore nouveau pour vous. Si je peux\nfaciliter votre adaptation, j'en serai ravi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nJe n'ai besoin de rien pour le moment.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nEntendu. Si vous changez de disposition,\nvous savez où me trouver.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nL'offre vaut pour vous aussi. Je sais que vous\navez une certaine tendance au surmenage.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Tâchez de vous octroyer un peu de repos\nde temps en temps.\x0E\x04\x00\x00
