MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nDe tous les anneaux volés à Lythos, je suis\nla dernière à vous rejoindre. Pardonnez mon\nretard.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas votre faute. Je suis heureu\x0E\x0A\x00\x0A\x02x\x04se que\nvous soyez de retour. Et je promets de ne plus\nvous perdre, Eirika.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nJe peux sentir deux présences dans votre\nanneau, Eirika. Y a-t-il un autre Emblème\nà l'intérieur ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nエイリーク\nMon frère jumeau Ephraim et moi sommes un\nseul Emblème. Il n'y a qu'au maximum de notre\npuissance que nous existons en même temps.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0A\x08リュール\nNous nous sommes bien battu\x0E\x0A\x00\x06
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0C\nエイリーク\nIl n'apparaîtra pas en temps de paix. Je ne sais\npas si c'est à cause de l'anneau ou de son\ncaractère, mais je lui ferai savoir.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nMerci. Votre soutien compte beaucoup pour\nmoi, et ça vaut pour tous les deux.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0C\nエイリーク\nJe suis aussi très satisfaite de nos expériences\njusqu'à présent. J'espère que nous pourrons\ntravailler toujours ensemble.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nOn m'a dit que vous étiez un maître du tricot,\nmême si je n'ai pas encore eu le plaisir de vous\nvoir à l'œuvre. C'est formidable !\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe n'ai pas souvent l'occasion d'accueillir un\néloge aussi spontané. En général, le sentiment\ndominant est plutôt la surprise.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nOù puisez-vous votre énergie au combat,\nVander ? Qu'est-ce qui vous pousse à risquer\nvotre vie sur le champ de bataille ?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nC'est très simple. Je veux protéger ceux qui\nme sont chers. Ma vie entière est au service\nde cet objectif.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nTout comme vous, je désire protéger les autres.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne puis m'enorgueillir d'avoir votre noble\nascendance, mais je m'associe à votre dessein.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nQu'une princesse et un chevalier vieillissant\nsoient tous deux prêts à sacrifier leur vie pour\ndéfendre cette valeur... C'est étonnant.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nエイリーク\nAbsolument pas. Nous sommes semblables\ndans la mesure où nous souhaitons protéger\nceux qui ne peuvent se protéger eux-mêmes.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nOuah, Dame Eirika, vous êtes une jumelle,\nvous aussi ?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nエイリーク\nOui ! Et tout comme vous deux, mon frère\nest né le premier. Nous devrions comparer\nnos expériences.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nMon frère m'a toujours traitée comme une\nenfant alors que je suis née juste après lui.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\nAh oui ? Eh bien... Je suis né le premier,\net je m'inquiète aussi sans arrêt pour ma sœur.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06クラン\nLes jumeaux sont étranges, n'est-ce pas ?\nOn a beau naître en même temps, il y en a\ntoujours un de plus vieux que l'autre.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0C\nエイリーク\nMon frère a toujours brandi le prétexte de sa\nnaissance antérieure pour tout faire à ma place.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x0C\nエイリーク\nIl me dit que comme je suis plus jeune, mon\nrôle est de me faire choyer... Alors que nous\nsommes pratiquement nés en même temps.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nEn tout cas, s'il est comme moi, il adore\nsa sœur. Et d'autant plus qu'elle est née\nen même temps.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nSans blague ? Vous avez aussi un frère\njumeau ? Et vous êtes aussi la plus jeune ?\nOn va s'entendre à merveille !\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0C\nエイリーク\nHé hé, je suis certaine que vous avez raison.\nNous pourrions échanger des astuces sur l'art\nde se débrouiller avec un grand frère !\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nDame Eirika, vous vous entendez bien avec\nvotre frère ? Ce n'est pas toujours facile, quand\non est jumeaux.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0C\nエイリーク\nNous nous entendons bien, mais je ne saurais\ndire si c'est dû à nos personnalités ou à la\nnature de nos pouvoirs.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x08\x06フラン\nVotre frère vous tape parfois sur les nerfs,\nDame Eirika ? Ou est-ce que vous l'aimez\nquoi qu'il fasse ? Vous pouvez me le dire.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0C\nエイリーク\nJe l'aime, bien sûr. Nous sommes de\nla même famille.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x0C\nエイリーク\nMais par-dessus tout, il est la personne que\nje respecte et en qui j'ai confiance plus que\nquiconque. Et cela ne changera jamais.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nC'est charmant... D'ailleurs, je pourrais en dire\nautant au sujet de mon frère. Je devrais sans\ndoute lui en parler, mais ça paraît si gnangnan...\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nVous êtes toujours plein d'entrain le matin.\nLe simple fait de vous voir suffit à me\ngonfler d'énergie.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nOui, je fais souvent cet effet ! Ça vous plairait\nde courir avec moi, à l'occasion ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nVous ne souffrez pas de toujours vous lever\navant l'aube ? De suer ainsi à l'entraînement,\nles yeux encore gonflés de sommeil ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nÇa a été un peu difficile au début, mais je m'y\nsuis fait. On profite bien mieux de la matinée\nquand on s'est préparé à l'affronter !\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nLes Emblèmes sont tout de même curieux.\nVous êtes là, face à moi, sauf que vous\nn'avez pas de corps.\x0E\x04\x00\x00
