MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nVos jeux de filou ne m'intéressent pas, Zelkov.\nDites-moi plutôt ce que vous cherchez.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nPuis-je vous demander à *quoi* vous faites\nallusion, Yunaka ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nVous m'avez prise en filature. Ne faites pas\nl'innocent, je connais la chanson.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nAinsi, vous avez remarqué... Comme c'est\n*étrange*...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nVous avez l'instinct d'une *chasseuse*. À croire\nque vous chassez pour vous distraire... ou pour\nde l'argent, peut-être ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nLa vérité se *lit* sur votre visage. Je vous\nsoupçonnais d'avoir un passé marqué par\nla violence.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nVoilà pourquoi je vous ai *prise en filature*,\ncomme vous dites. Les gens suspects\nn'échappent jamais à mon regard.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nSoit, je le reconnais. Vous m'avez bien cernée.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nEt maintenant, si on farfouillait un peu dans\nvotre cervelle pour voir ce qu'il en ressort\nde votre côté ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nCette idée ne m'enchante pas plus que ça...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nVotre soif de sang transparaît elle aussi au\npremier regard. Elle dégouline littéralement\nde vos pores !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nPeut-être que votre parcours est similaire\nau mien...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nDe toute évidence, c'est le *cas*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nAlors n'en parlons plus, si vous le voulez bien...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nJe ne tiens pas à m'appesantir sur mon passé.\nJ'ai pris ma retraite, et j'en suis ravie.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nJe me suis également *libéré* de mon passé.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nEncore une chose que nous avons en commun.\nTrès bien, oublions ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ユナカ\nDe toute façon, j'ai à faire. À la prochaine.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nÀ propos de notre discussion de *l'autre fois*,\nYunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nTiens, je croyais que nous étions convenus de\nne plus en parler. Et pourtant, vous revenez\nà la charge...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nVotre message était parfaitement limpide.\nSeulement, il nous reste *un* point à aborder.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nD'après vous, ma soif de sang transparaît au\npremier regard... Elle *dégouline*, avez-vous dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous en prie. J'ai à cœur de soigner mon\nimage. Il en va de mon *bien-être*.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nBon, d'accord.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nVous êtes un chasseur, ça saute aux yeux.\nChacun de vos actes trahit la violence qui\nvous habite...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nPuis-je vous demander *d'illustrer* votre\npropos ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nSi vous voulez... Tenez, votre regard, par\nexemple. Il est froid et calculateur.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nLes gens ordinaires n'ont pas pour habitude de\nvous jauger de haut en bas. Contrairement aux\nassassins...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nVous essayez toujours d'exposer les faiblesses\nd'autrui. Quoi de mieux lorsqu'on cherche un\nangle d'attaque...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nVous faites *erreur*...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nVous croyez ? C'est pourtant ce que vous faites\nen ce moment même !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nAnalysez votre posture. Vous êtes prêt à parer\nun coup de poignard de ma main dominante,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nVous cherchez constamment l'avantage\ntactique. Je vois clair dans votre jeu.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nQuelle perspicacité...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nLes gens ordinaires ne sont pas obnubilés par\nla violence. C'est tout ce que je voulais dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nIl faut croire que je n'ai aucun *secret* pour\nvous...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\nDans mon ancienne vie, j'avais tout intérêt\nà me montrer observatrice. Mais je ne vous\napprends rien...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vous remercie pour votre analyse\napprofondie. Je vais y *réfléchir*.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nPas de quoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nDites, Zelkov, ça vous dérangerait de reprendre\nnotre discussion à propos de notre activité ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nVous avez changé *d'avis* ? Je croyais que\nvous en aviez eu assez.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nOui, pas la peine de me le rappeler. J'étais là,\nvous savez.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nJ'avais peur de mal supporter une discussion\nsur la question, mais mes craintes n'étaient\npas fondées.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nC'est tout le contraire, en fait. Ça m'a permis\nde prendre un certain recul. Une nouvelle\nperspective, pour ainsi dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nQu'est-ce que vous voulez dire par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nEh bien, les gens comme nous n'ont pas\nsouvent l'occasion de parler en toute franchise.\nC'est regrettable.\x0E\x04\x00\x00
