MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nVotre Divinité, est-ce que vous avez vu\nmon dernier dessin ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nOui, un puits ancien, enfoncé dans une forêt...\nUn rayon de soleil unique illuminant une fleur\népanouie et solitaire...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nVous avez su capturer l'équilibre parfait\nentre la chaleur et l'isolement, la lumière\net l'ombre. C'était à couper le souffle.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nTout juste ! Vous avez perçu tout ça\nen un clin d'œil, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nVous pouvez pas vous imaginer le temps\nqu'il m'a fallu passer dans les bois pour trouver\ncette vue !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nMais votre réaction devant mon esquisse...\nvous la comprenez si bien que ça en valait\nla peine !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nTrouver la beauté pour la partager avec ceux\nqui autrement l'ignoreraient...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nVous avez trouvé un excellent loisir, Rosado !\nJ'ai hâte de voir votre prochaine composition.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nOh, c'est tellement gentil de votre part !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nEnfin, maintenant que vous voulez en voir\nencore plus, je vais devoir mettre les bouchées\ndoubles.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nVous pourriez peut-être m'aider !\nIl y a un coin que j'aimerais voir,\nmais il est difficilement accessible.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nCette dure marche serait plus aisée avec\nun compagnon de route.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nJ'adorerais vous accompagner !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nSuper ! Merci, c'est génial !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nVous voulez de l'eau ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nMerci...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nOuf.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nNous avons beaucoup marché.\nSommes-nous près du but ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nSi la rumeur que j'ai entendue en ville dit vrai,\nnous pourrions bien nous en approcher, oui.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nUne rumeur ? On a fait tout ce chemin\nà cause d'une rumeur ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nOuais, mais c'était pas de la rumeur\nde rien du tout, hein...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nApparemment, le coin que nous cherchons\noffre une vue qui mérite de se tordre le cou.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nS'il y a ne serait-ce qu'une once de vérité\nlà-dedans, rien ne pourra m'empêcher d'y aller.\nNi la distance, ni la soif... ni l'épuisement !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nJ'admire la passion qui vous anime quand\nil est question de votre œuvre, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nC'est plus une passion de l'appréciation\ngénérale, mais merci.\x0E\x04\x00\x00
