MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVoyez-vous ça ! La princesse Céline, de Firene !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nAllez-vous bien, Princesse Céline ?\nQue diriez-vous de prendre le thé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nTu débordes toujours d'énergie, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nÉvidemment !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nMon humeur est toujours au beau fixe,\net j'ai de la gaieté à revendre !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nHélas, je viens juste de déguster une tasse\nde thé.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nMais je serais ravie que nous remettions\ncela à plus tard.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nVoilà qui est décevant. M'accorderiez-vous\nune séance d'entraînement au combat,\ndans ce cas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nIl est toujours bon de s'exercer après une tasse\nde thé ! Allez, montrez-moi ce que vous savez\nfaire !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nEh bien ? Qu'est-ce qui vous fait rire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nD'abord tu m'invites à prendre le thé, et\nl'instant d'après tu me proposes de croiser\nle fer !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nPeu de gens se conduisent ainsi face à\nune princesse. Tu es bien singulier.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nHa ha ! Vous ne vous en tirerez pas\nen me flattant !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nHélas, je vais devoir décliner le combat de\nmême que le thé, mais nous pouvons nous\nrevoir et deviser ensemble à l'occasion.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nAvec plaisir ! C'est ce que font des amis,\naprès tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nAbsolument.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrincesse Céline !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nBonjour, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nHa ha ha ! J'ai entendu des choses\ntout à fait croustillantes !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nIl paraît que votre statut royal ne vous\nempêche pas d'être une excellente\népéiste !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nCela ne m'intrigue que davantage.\nAccepterez-vous l'entraînement, cette fois ?\nJ'ai hâte de vous voir à l'œuvre !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nTon invitation me va droit au cœur, mais\nje n'aime pas ferrailler pour le plaisir.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nQuelle déception. Vous n'avez donc aucune\nenvie d'éprouver votre force ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nJ'entretiens mes aptitudes pour protéger\nmon pays, mais je n'ai jamais considéré\nl'entraînement comme un but en soi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nBien sûr, chacun ses goûts. Prendrons-nous\nle thé, dans ce cas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nJ'en serais ravie. Toutefois, je dois d'abord\nrégler quelque affaire urgente.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nIl ne s'agit que d'une courte missive que\nj'étais en train de rédiger. Te serait-il\npossible de patienter un instant ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nLes princesses sont décidément très\naffairées.\x0E\x04\x00\x00
