MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nPar ici ! Le fragment de Dragon déchu est\ntout près d'ici !\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nJe suis ravi\x0E\x0A\x00\x06
MID_OP1_#003	\x0E\x03\x02\x0A\x08ヴェイル\nAttendez, il y a quelqu'un ici. C'est...\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nOn dirait... Zephia et Griss !\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nIls gardent sans doute le fragment.\nEst-ce que ça va aller ?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nSi je veux arrêter Papa, je ne peux pas les\néviter indéfiniment.\x0E\x04\x02\x00
MID_OP1_#008	Tôt ou tard, je vais devoir les affronter. Alors,\nallons-y.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nTrès bien.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nZephia. Griss.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nDame Veyle ! Nous vous attendions.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06セピア\nOh, je vois... C'est encore vous.\x0E\x04\x02\x00
MID_OP2_#005	J'imagine que l'autre Dame Veyle\nn'est plus avec nous. A-t-elle disparu ?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08ヴェイル\nC'est exact.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x06\x04グリ\nVous vous êtes débrouillée pour revenir, hein ?\nJe n'aurais jamais cru qu'une tare puisse s'en\ntirer aussi bien.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nArrêtez de l'appeler comme ça ! Personne\nne parle de la sorte à Veyle !\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06セピア\nVous ?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04グリ\nHé ! Ouah ! C'est quoi, ça ? Vous n'étiez pas\nmort\x0E\x0A\x00\x06
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nJe suis désormais un Emblème, grâce au\npouvoir de tous les Anneaux d'Emblèmes,\net je compte bien sauver ce monde.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNous sommes ici pour stopper Papa. Vous deux,\nécartez-vous de notre chemin.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x08\x06セピア\nPour vous laisser passer ? Pas question.\nLe seigneur Sombron est en train d'ouvrir\nun portail menant à d'autres mondes...\x0E\x04\x02\x00
MID_OP2_#014	Nous sommes là pour protéger ce fragment.\nMême Dame Veyle ne pourrait nous ordonner\nde nous écarter.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08ヴェイル\nDans ce cas, vous êtes prêts à mourir.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06セピア\nVous comptez nous tuer, Dame Veyle ?\nOh, qu'il est triste d'en arriver là.\x0E\x04\x02\x00
MID_OP2_#017	Moi qui ai pris soin de vous, qui vous ai\ndorlotée comme si vous faisiez partie de\nma famille.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08ヴェイル\nVous savez, ce que vous disiez me rendait\nheureuse. Mais je sais que ce sont des\nmensonges... désormais.\x0E\x04\x02\x00
MID_OP2_#019	Vous n'êtes que deux partisans de Papa.\nDes ennemis à vaincre, rien de plus.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x06\x04グリ\nPourquoi juste deux ? Nous étions quatre.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x0A\x08ヴェイル\nMauvier était mon chevalier. Et Marni aussi...\x0E\x04\x02\x00
MID_OP2_#022	On m'a dit... qu'elle avait péri pour me sauver.\x0E\x04\x02\x00
MID_OP2_#023	Pourquoi l'avez-vous tuée ? Je n'ai même pas\npu lui faire mes adieux.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x08\x06セピア\nJ'ai fait entrer Marni dans ma famille.\nJe me suis occupée d'elle. Et qu'ai-je\nobtenu en retour ? La trahison.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08ヴェイル\nComment pouvez-vous dire que les Quatre\nChacals formaient une famille ? Alors que vous\nles traitiez si... froidement...\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x08\x06セピア\nParce que je les aimais. Et quand des enfants\ns'éloignent du droit chemin, il faut les punir...\nOu pire encore, si nécessaire.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x0A\x08リュール\nCe n'était pas vraiment de l'amour...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x08\x06セピア\nOh ? Vraiment ? Alors peut-être n'ai-je jamais\nconnu le « véritable amour ».\x0E\x04\x02\x00
MID_OP2_#029	Je sais ce que renferment mon esprit et mon\ncœur. C'est tout ce qui compte pour moi.\x0E\x04\x02\x00
