MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBonjour, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl paraît que tu n'as pas ta pareille pour\ncuisiner le poisson. C'est vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nOuais. Vrai de vrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nMon père m'a mis une canne à pêche dans la\nmain dès notre première sortie sur l'eau. Et je\nme suis toujours ruée en cuisine au retour.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nTout ce qui a des branchies, des ailerons ou\ndes tentacules, je peux te l'apprêter en fonction\nde tes goûts.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vois. Même des espèces rares comme les\ncalmars ou les pieuvres n'ont aucun secret\npour toi, dans ce cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nOh, que non ! Un jour, j'ai pêché un colosse.\nC'était un vrai mastodonte. Me demande pas\ncomment ça s'appelait.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nMais ça nous a pas empêchés de le couper en\nmorceaux et d'inviter tout le village au festin.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuelle histoire... Tu dois décidément avoir\nun talent exceptionnel.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt c'est pourquoi je dois te faire disparaître\nde la surface du globe.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nOh, eh ! Qu'est-ce qui me vaut cette\nagressivité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu m'en vois navrée, Saphir, mais cette pièce\nest trop petite pour deux virtuoses de la cuisine.\x0E\x04\x00\x00
