MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x12\x0Cオルテンシア\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nQuelque chose ne va pas, Princesse Hortensia ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, je vois, maintenant...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cオルテンシア\nTu as ce... charme bien spécifique...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nOui, c'est une sorte d'aura sophistiquée, de...\nde maturité ! Comme si tu pouvais être\nnotre mère à tous.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nÇa me plaît. Je sais que je suis déjà mignonne\nà croquer, mais cette qualité que tu as serait\nune corde supplémentaire à mon arc.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cオルテンシア\nJe suis sûre qu'en grandissant, je finirai\nbien par l'avoir, cette fibre maternelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nMais je ne vois pas pourquoi j'attendrais si\nlongtemps ! Si toi, tu l'as dès maintenant,\nje veux l'avoir dès maintenant aussi !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nEuh... d'accord...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cオルテンシア\nÇa me fait plaisir que tu sois d'accord avec moi,\nChloé. Surtout qu'à partir de maintenant, j'exige\nque tu m'accompagnes afin que je t'observe !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nEt là, je pourrai voir comment ça fonctionne\net je pourrai te piquer... euh je veux dire\napprendre ta technique !\x0E\x04\x00\x00
